,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
24,0001.HK,0.4823290928666074,0.4158112337079698,6.33650965510715,76.08912940503296,36.70000076293945,338043953304.0796,22182949434.567184,140562473270.88867,0.3145818294957243,0.652214088157284,0.7565496167346446,0.049645916540531916
7,GLE.PA,0.7889308048000777,0.6797043064200063,0.7497566118015337,31.65676917356348,24.975000381469727,29257124335.850227,26523531892.24958,19886193404.54297,0.18397688916996044,0.23319775074137442,0.27067194871688294,0.24538214971908845
37,POW.TO,1.140068985573153,0.7657028721397408,1.1113724472208735,31.82263462860332,36.279998779296875,31124918077.944817,21444151532.63201,23832439167.396484,0.16546774638975395,0.14513836310227093,0.21609915857747508,0.14888595340250413
73,PKN.WA,0.9304704576371989,0.7317233388775632,0.19227680748378106,73.94109344047946,68.80000305175781,109156936099.68703,415404638706.8562,79872677744.50781,0.13791449480679835,0.14822017579903948,0.18847901587826094,0.7172705674262441
68,1605.T,2.14889029057937,0.8259619596408729,0.41905315866384213,1204.1098660752823,2587.5,3941702111094.283,7769171840586.622,3255696000000.0,0.14152157495140824,0.06585798054550848,0.17134151676058013,0.3377174757557063
52,1925.T,1.3594551521810885,1.0883056407755938,0.6504755040523714,3216.729873717443,4373.0,2617140407301.539,4378717799861.5,2848248667968.0,0.10943972661556164,0.08050263845775145,0.10055973479800044,0.1682457309057258
28,ELE.MC,0.8384550671454066,1.1523377626159055,1.7172644257848073,20.37676168222112,17.084999084472656,15681715027.088945,10522917808.675526,18070632408.2959,0.10980246596622097,0.13095808024639058,0.09528670284740123,0.06394033692047171
17,600919.SS,1.1332828254920928,1.1503789758024752,0.511856212654329,7.076786374382085,8.020000457763672,127938220684.23277,287536686354.7514,147177439276.71875,0.09924536490408434,0.08757334239225775,0.08627188691001006,0.19389305521843406
19,002142.SZ,1.0338458669727164,1.1510036503351624,0.45868269723108407,20.62202923657561,21.31999969482422,122318065467.32307,306941030705.3615,140788539854.82422,0.09787945818750395,0.09467509743411977,0.085038356011297,0.2133925233682672
44,REP.MC,1.159562756142396,1.1041576110746494,0.2795085547854009,13.50940246991629,15.664999961853027,17155549681.132677,67770486549.634964,18942430752.59192,0.08970337662538352,0.07735965660349979,0.08124146020972263,0.32093249057888534
46,PFG,1.3472357000864006,1.2659490160416256,0.8752268996334116,58.58663060970984,78.93000030517578,14661245703.082724,21206374689.27897,18560389571.762085,0.09576846397148375,0.07108515901511663,0.07564954256288534,0.10942129865020868
43,TLX.DE,1.9378310863912531,1.3919164007581981,0.9817922925031537,35.813235742398895,69.4000015258789,12875121256.610151,18253445841.51806,17921092438.82617,0.08712080501395286,0.04495789422812621,0.06259054420689118,0.08873649312507007
47,TSN,0.918162788346806,1.4483922218445056,3.44819421400955,63.30032067247299,58.119998931884766,14325789603.653946,6017457528.758497,20749362233.713257,0.08916900573424963,0.09711677152022519,0.06156412910081376,0.02585962396548545
40,CARL-B.CO,1.151547203137638,1.578047101591294,1.1805573591409153,795.1041634169998,915.5999755859375,80184557370.43817,107182431561.71553,126535008350.80078,0.07724186474073241,0.0670765944550691,0.048947756161930873,0.06542830311687767
34,CEZ.PR,1.41631400207539,1.522931304370973,0.4883668076606168,617.8008539898796,875.0,308424112533.43243,961794963605.342,469708736000.0,0.07015645542517651,0.04953453494237368,0.04606672357697298,0.1436552491379199
60,2891.TW,1.5503808834037216,1.6448708999287034,1.209623628724434,20.607839728258327,31.950000762939453,390850063024.237,531485893328.4997,642897894903.8672,0.07401489673117573,0.04773981511477533,0.04499738960327153,0.061188368822809404
53,BIMBOA.MX,1.3229663488243009,1.5039418060339351,0.4233413152010655,50.62865235873736,66.9800033569336,195451108038.90933,694350118593.4598,293947092415.3711,0.06759871064268223,0.051096319043002214,0.044947690377028414,0.1596789829279391
83,OMC,1.200076712423005,1.6549462802203863,1.3631564131579426,75.45351235833381,90.55000305175781,10715012027.626963,13008609376.349922,17732769297.63794,0.07419709679385825,0.06182696158152357,0.04483353791035293,0.05443036182617539
