,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
61,CRBG,1.3049888696853083,0.5150400920443515,0.3135195687304308,20.429292897985437,26.65999984741211,32225031775.074272,52938269208.442726,16597183331.566406,0.22931601850546035,0.17572258571121668,0.44523916108207223,0.7314248977633354
19,PAH3.DE,0.8199355736045635,0.5542771239994836,0.2626991916321532,61.663383076576906,50.560001373291016,27861598739.680977,58786046213.199875,15443046819.458008,0.2092592244121304,0.2552142279815895,0.3775353795988978,0.7965735376344341
76,601186.SS,0.8832087116144098,0.5888942346906999,0.2919637323922477,9.861768711753347,8.710000038146973,187023529185.3571,377228627632.41284,110137078088.76465,0.19819256674312266,0.2244006021870506,0.3365503600951667,0.6788259799229266
20,601169.SS,1.0029380862507364,0.7027955008568052,0.4727141896151494,5.643418995653834,5.659999847412109,170276234259.24158,253153753302.09732,119669371340.23438,0.17185182615800748,0.17134838980982142,0.24452607614661204,0.36354277052253736
23,FRE.DE,0.5374474162846931,0.7684664539406287,52.6992760318814,47.35347122677067,25.450000762939453,18653230472.989765,272003392.74952984,14334381876.115723,0.1714479229896135,0.3190040882042221,0.2231039782028787,0.003253325963830943
16,AKRBP.OL,1.4924634852802354,0.651039580233124,0.14591054138350235,196.05170175977537,292.6000061035156,283725657460.90216,1265958108189.1472,184716632934.7129,0.14425851300961978,0.09665798489035246,0.22158178609964657,0.9886777997105741
77,9101.T,2.789038526769433,0.6434475303577026,0.12747228710146608,1501.5927387890895,4188.0,2990892445315.8594,15097260755760.506,1924482357504.0,0.13060920518757663,0.04682947328765027,0.20298345867450748,1.0246086279413313
15,601800.SS,0.8933153003111629,0.7830066606449388,0.5596869323132367,10.500212087684652,9.380000114440918,164676899257.3409,230384347978.10977,128943108972.85352,0.1551645102283998,0.17369512217506217,0.1981649940252047,0.2772344703262784
57,7201.T,0.7137877672017827,0.826873385112079,-1.3575641004745795,821.672809411149,586.5,2828526190847.2017,-1722815906435.9368,2338833026304.0,0.1638164066922245,0.22950296183195132,0.19811546681965092,-0.12066937143885675
56,TEL.OL,0.8368385209108422,0.9485102418636355,0.5961932747285458,145.7867879542773,122.0,178022897908.0186,283224499687.4252,168856541952.0,0.12654706624321527,0.1512204123986517,0.1334166576784403,0.21225845981042593
25,F34.SI,0.9536053741342364,0.9873599033342271,0.593818611877778,3.659794821002619,3.490000009536743,22066044640.98867,36689870051.05799,21787127703.695312,0.12104256103095534,0.12693150050758473,0.12259213749941164,0.20383760059017617
63,BEN,0.7143946567598376,1.0913560043592476,1.9662829351595392,34.910676190068216,24.940000534057617,12033064506.721191,6678772909.75258,13132357200.25232,0.11673684903808015,0.1634066659562437,0.10696495787973256,0.05936930385280917
21,MGA,0.9075135117602746,1.1493766907955185,10.003076130760421,54.687892163555254,49.630001068115234,12415178145.94805,1426532817.1547012,14269716373.026611,0.11366199970630456,0.12524551781696125,0.09889012072068004,0.01136270465409965
28,CON.DE,0.5190547681849416,1.2036408399623755,-1.8260565609446067,126.84595224531591,65.83999633789062,10940468178.17164,-7211383584.276399,13168394307.556152,0.11247688711372407,0.21669560518062334,0.09344721729219489,-0.06159551106978885
66,1038.HK,0.7894565083710515,1.2380064891998908,7.619083992782356,55.03786504033427,43.45000076293945,88430119101.76958,14368795696.755518,109477061288.70996,0.10499551106589124,0.13299720751246555,0.08481014597407209,0.013780595038111495
27,CFG,0.9749465812763582,1.215643965451354,0.7740340227759367,33.848008325541095,33.0,12446082213.209862,19546950509.667397,15130004736.0,0.09894907675989242,0.10149179315071041,0.08139642820762395,0.12783556516679848
4,8309.T,1.5491602230897097,1.2638123327846145,1.1387712717788667,2124.376775848461,3291.0,1905118320349.8103,2114306962548.2644,2407712028672.0,0.09770091433916765,0.0630670171380394,0.07730650493329087,0.08579502904613122
52,0992.HK,1.2131549720154657,1.3003732838193456,0.40478115976299933,7.055982637894652,8.5600004196167,81567213107.40811,262037454565.7602,106067824760.47266,0.08109359886731383,0.06684521000032634,0.06236178478623663,0.20033936093961094
80,UAL,0.7210437308869583,1.4918858269794941,-1.5857994448293136,56.91749218184576,41.040000915527344,9044978848.460915,-8509320515.495936,13494075749.348145,0.09116593258040863,0.1264360657685285,0.06110784815550212,-0.05748894217214284
62,1928.T,1.7243272429702727,1.4253371472339902,1.0413219356799777,2057.034135753749,3547.0,1620963859047.3853,2218737475375.7666,2310420002624.0,0.08539512286767047,0.049523733511610865,0.05991222710597859,0.08200645731323032
55,RECLTD.NS,3.5850888962316145,1.4274652837811939,0.7819483728689361,119.69019974778155,429.1000061035156,791553232224.6631,1444999182132.5615,1129914759265.5,0.08244556042095762,0.022996796678491964,0.05775661331851705,0.10543606621811652
68,1023.KL,1.2223453676169205,1.5359903503410248,0.9963333649504683,5.383093925847157,6.579999923706055,45751421695.05551,70532358656.36385,70273742237.98828,0.07831065949729817,0.06406590278979198,0.05098382257408805,0.07859885280584908
14,CF,1.499754496777204,1.4934039551062839,0.503987610973472,52.05518627387847,78.06999969482422,9854076954.006285,29199363588.73962,14716117497.034668,0.07264755804072807,0.048439633417895485,0.04864561781313739,0.14414552353857754
50,EN.PA,1.0844628679540862,1.5962926720295596,1.3905789060303198,33.33447607485019,36.150001525878906,8549809779.133358,9814616515.820835,13647998697.677246,0.07731536493915292,0.07129369499300024,0.04843432930181441,0.055599408709473955
