,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
29,JBSS3.SA,1.2693526770795962,1.0728215918190311,0.5042452779757401,18.143106405723824,23.030000686645508,47615842222.68252,101306459138.72052,51083303649.14209,0.10846762257305681,0.08545113153470367,0.10110499583546195,0.2151088514075789
11,9502.T,1.3944015289116463,1.197393459621835,0.6367731724845178,1490.2450670876085,2078.0,1312234477940.3098,2467536399571.235,1571260981376.0,0.09793147148938065,0.07023190197289715,0.08178721096431386,0.153793337598188
72,RED.MC,0.9024909599935336,1.248797260397085,1.5178459880346042,17.385215227525073,15.6899995803833,6809811675.036147,5602725329.607912,8504074163.605225,0.1006864220051678,0.11156502000406655,0.08062671595960431,0.06633507140967738
13,ASRNL.AS,1.2983851261420765,1.245116513561583,0.9862802790856673,34.78936816163324,45.16999816894531,7659969705.240555,9670227597.187962,9537554773.376465,0.0984424228546383,0.07581912398145124,0.07906282005131351,0.09981181307396668
18,1812.T,1.9860586992222617,1.2694252893545566,0.9102529840375573,1529.1592344119967,3037.0,1151175673160.741,1605412492599.6453,1461331512000.0,0.0956608552366742,0.04816617720016779,0.07535760949375231,0.10509260273155799
57,9531.T,1.4301429817494131,1.2413234036097285,0.5760840796131818,2720.7069850039466,3891.0,1250738728912.363,2695042808755.4365,1552571256000.0,0.0928841104346711,0.06494742946684338,0.07482668107647619,0.16123360065259779
7,UNM,1.4059034615819894,1.2610558027887164,0.7361735496646858,35.528755798590424,49.95000076293945,7601966562.641508,13022070747.843834,9586504046.424866,0.09435139187546882,0.06711086106104336,0.07481936300266714,0.12816460455342932
5,RAND.AS,0.968569953244053,1.3188843593388995,0.9497287898176422,50.10479482329001,48.529998779296875,6523202721.2358885,9058744068.911392,8603350041.83496,0.09214201399980734,0.09513201776618614,0.06986360354291729,0.09701929117837901
67,BABWF,0.37819336653066454,1.4438519606970126,-4.507424349535878,5.261858577245539,1.9900000095367432,6918867160.877081,-2216303401.09051,9989819916.034546,0.09121010442577802,0.2411732000021279,0.06317136860883354,-0.02023552640105203
3,SKF-B.ST,1.2570690242346214,1.47124862441142,1.6851762607036744,176.76037883721682,222.1999969482422,67029325301.84759,58520170824.37994,98616802645.56885,0.08526538859935168,0.06782872456129951,0.057954438960622655,0.050597311739810316
61,5019.T,1.8245256304228015,1.2916341943819698,0.31228038278515496,597.1415154894413,1089.5,1192269080055.486,4931387296791.819,1539975512704.0,0.07442629166577978,0.04079213271919497,0.057621803440556785,0.23833162686041715
