,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
18,BCH,0.9294409862510403,0.0015568101409725041,0.0007049886770070891,23.207497855058225,21.56999969482422,6998080778491.48,15453699440325.537,10894683123.300293,73.80956972857847,79.41286302242177,47410.77141395758,104696.10666929375
11,1972.HK,0.6567081857496021,0.882996430448962,-1.356515309201171,23.0543804262789,15.140000343322754,100305048827.30376,-65291559534.75738,88569000070.51807,0.1541272904642848,0.2346967706643638,0.17455029844901904,-0.11362001550505742
60,003550.KS,0.9596827971868284,0.9093803817525432,0.6976008877868322,80339.04559507321,77100.0,12989095253227.312,16932358611919.42,11812028400000.0,0.13457560769156296,0.14022925917402285,0.14798604675439667,0.19291203616226704
77,601336.SS,0.6784634936135809,0.9448681331476051,0.690690397205243,42.97946775603552,29.15999984741211,78410613162.94974,107266135417.5737,74087689678.23535,0.12904303051588578,0.19019892998013282,0.13657252900043249,0.18683194530868777
67,ALLY,1.2954475611533425,0.9524966362295414,0.734452498282881,28.245064678659517,36.59000015258789,11677263790.633423,15144007960.960611,11122554480.94336,0.1284956618957179,0.09919016851698549,0.13490405845879735,0.17495435333957657
72,9107.T,4.2306813076826915,0.8094189443682642,0.14942070236227384,491.2920281245375,2078.5,1815409370012.78,9834157600928.297,1469426735872.0,0.09686566640257376,0.022895996970197417,0.11967309027857698,0.6482747361722392
2,FORTUM.HE,0.6936418276985886,1.2069211649353055,1.0955598710897487,17.21349420348342,11.9399995803833,8876579593.388195,9778864730.4474,10713331783.493042,0.10220910003806298,0.14735140811386646,0.08468581296570575,0.09329394288273449
70,SCG.AX,0.9064983835411808,1.3743055460983524,-0.6421305463239427,3.4859412252742694,3.1600000858306885,12176424410.855328,-26060320125.37804,16734127599.48584,0.10517907129823004,0.11602786415057288,0.0765325233510357,-0.1637970221170092
15,VIV.PA,1.0988050290711304,1.3433834786574756,12.427464417365611,9.040730386587736,9.934000015258789,7506865772.65954,811476832.0236202,10084599455.490112,0.09747536373047015,0.08871033636683524,0.07255959692751557,0.007843543981044292
0,5802.T,1.5574078616822318,1.4630223396019146,1.362445332329153,1584.0423441392377,2467.0,1315049468575.7854,1412127668211.7869,1923946750208.0,0.08457002367899821,0.05430178295597534,0.057805011851021736,0.06207223267771227
42,DINO,1.3836155907756056,1.4283703518429254,0.46890731892209625,42.60576503759558,58.95000076293945,8136705186.733416,24785768917.263306,11622228450.416565,0.07545139073295101,0.05453204722176891,0.05282340860379902,0.1609089636442344
45,2503.T,1.0657777707858276,1.5838445526312157,1.7447241083037681,2082.047553275454,2219.0,1134650725357.1628,1030025527785.6865,1797110370496.0,0.07910165248268285,0.07421964939685222,0.04994281310705178,0.04533762794140901
63,EQH,1.3750854530743386,1.5655983022410758,1.242261029442105,26.07110590397832,35.849998474121094,7501945475.595642,9454561337.54136,11745033100.097656,0.07768390197149923,0.05649387228831338,0.0496193064723554,0.06253428235319174
66,ACS.MC,1.2884863884582414,1.5961332961180128,2.011284305092399,29.212570444525355,37.63999938964844,5824162163.014668,4621991593.551142,9296139150.378418,0.07887011888910399,0.06121144902700701,0.04941324078692272,0.039213809151402226
88,2357.TW,1.523113745675296,1.6245714670996771,1.4044950921437231,289.21017964071854,440.5,201398206620.0632,232956157575.8919,327185780000.0,0.0759648108790058,0.049874680137776344,0.046759907100070296,0.05408691799916397
62,0836.HK,1.296991364702413,1.623734274298244,1.238615289651382,14.942273085382668,19.3799991607666,57414768142.50848,75266572004.06206,93226326883.87793,0.07495613667911706,0.05779231745025173,0.046162809928682505,0.0605160757382658
6,DVA,1.6090928493514798,1.7329345670626992,1.6113286474581863,80.7660084787808,129.9600067138672,6605982329.041708,7104531496.700024,11447735127.401733,0.07152793027504722,0.044452332445499,0.04127560938223196,0.04439065263804501
