,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
1,AAPL,2.1205631729233576,4.9406686866644005,2.4692272783315152,90.79191850430922,192.52999877929688,601746258307.1543,1204032096123.8264,2973028895735.625,0.02344889755360094,0.011057863237941104,0.004746097955706481,0.009496451687284786
0,MSFT,2.133844591443354,7.156145870305015,2.7409937526234884,176.22652092510853,376.0400085449219,390453569234.87006,1019390392390.2089,2794142697025.9688,0.015410093423585739,0.007221750583608432,0.00215340683419145,0.005622082651168493
2,NVDA,3.9757159972566076,17.652467472549894,4.301876173086425,124.56121150565669,495.2200012207031,70134671256.41002,287793035698.5394,1238050003051.7578,0.0054275316336109556,0.0013651708616400553,0.0003074658906496175,0.001261666169651024
