,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
316,VST,1.7701433250466123,0.7138932229536468,-0.23369834754986535,21.76095003874861,38.52000045776367,18822855883.030373,-57499376407.27792,13437509251.528564,0.21345101583269432,0.12058403001184868,0.29899571668374525,-0.9133612542431403
153,GM,0.9403158013077368,0.6493673118096069,0.3641704983665522,38.19993040528497,35.91999816894531,63857728912.251884,113867328484.90463,41467121762.015625,0.18133040540295522,0.19283990033005016,0.2792416589274221,0.4979272242432964
345,MT,1.2054590855080591,0.6658620560086993,0.371529745536343,23.551192845075317,28.389999389648438,35484532336.05092,63595994510.96648,23627803657.79004,0.17715357976660545,0.14695942972792092,0.2660514714241218,0.4768220630917863
291,EBAY,1.0275805804913976,0.7369797155548642,0.98983267204959,42.449224673967,43.619998931884766,30924234805.7483,23024632763.132736,22790533770.892212,0.17192993544558838,0.16731528282032154,0.2332899153352466,0.17369595922670736
85,C,0.8755346692324443,0.9403104204318976,0.8041901871767508,58.7526690083043,51.439998626708984,104344956682.87762,122006773587.82544,98116650088.4248,0.1310659300782336,0.14969816123116553,0.13938581050503857,0.16297877314116863
93,PBR,1.4062017883756162,0.8458548281423873,0.2256243060426512,11.356833990004143,15.970000267028809,122013614922.74312,457423258565.05304,103205805281.5083,0.11655442183643606,0.08288598606539586,0.13779482951277286,0.5165862839901789
281,HPQ,1.2928456836084998,1.0143517283039631,0.9230026045555866,23.274239558585833,30.09000015258789,29617663856.955044,32548909800.848663,30042728521.628174,0.12196794966083244,0.0943406867557496,0.12024226533804773,0.13214258449417743
50,VZ,0.7432476015280954,1.049415029943011,1.6896727675914855,50.723339954854005,37.70000076293945,151243305896.80444,93933571890.73679,158716998386.375,0.12153156370210103,0.16351423597228656,0.11580886516243327,0.07192609482328112
248,LYB,1.0548161049509577,1.076477296008165,2.1701370937739513,90.13893643146007,95.08000183105469,29050577617.909958,14410281880.956804,31272287241.603027,0.1193348913422395,0.113133361144299,0.11085685855592291,0.054989563417263916
134,COF,1.3340866996777845,1.0703732365695162,0.6686675173826901,98.28446318283233,131.1199951171875,46597761863.39454,74591625712.35191,49876997182.61719,0.11169477544132447,0.08372377557493195,0.10435124088051725,0.16704082752295504
339,FCNCA,2.4229662847682687,0.8823374659762547,0.17632220586347205,585.6333947456618,1418.969970703125,23173113105.00314,115961037327.77443,20446505895.84961,0.09176445645810115,0.03787277480292197,0.10400154135647992,0.5204361867452771
54,HSBC,1.1116320799366357,1.0707810816256427,0.5146749018956791,36.4689015792331,40.540000915527344,144638888805.5573,300921193611.5316,154876585800.3457,0.10740406572135883,0.09661835751220942,0.1003044110177028,0.20868331703326162
267,DFS,1.3786128097648396,1.1163352198513763,0.6948604995503366,81.53123250396304,112.4000015258789,25228537971.668938,40531164890.44523,28163505483.131836,0.10693803730518732,0.07756930484595494,0.09579383988209612,0.15389857010779845
37,WFC,1.0623364465487029,1.193350214750092,1.6481448201079139,46.33183901447425,49.220001220703125,144427593881.7889,104573759582.23557,172352700174.67188,0.1060013854235213,0.09978136942199099,0.08882672003014622,0.06431557720551569
387,PFG,1.3123072954631896,1.193821271789812,0.9473524369533354,59.94784791711311,78.66999816894531,15676454764.21328,19754934313.522446,18714885163.768555,0.10249461769145814,0.07810260450871137,0.08585423975382445,0.10819058852171065
83,T,0.7083668427482238,1.2520904665415526,-4.208870932318963,23.688292102358687,16.780000686645508,96135350851.19078,-28599155981.265255,120370156298.40332,0.10726495999549739,0.15142572114096364,0.08566869795900457,-0.025485447693782706
362,TSN,0.7773224962895274,1.2494059419661818,-9.254788524232804,69.14761923985263,53.75,15358685816.558573,-2073438336.2466655,19189233320.0,0.10697404975844027,0.13761862067426375,0.08561993037274652,-0.011558778407344334
333,STT,1.0176382574328504,1.2400487778647324,1.2679329268609847,76.11742042784188,77.45999908447266,19047226224.297207,18628343109.30586,23619489601.152832,0.10051021593134378,0.09876811843227702,0.08105343735301651,0.0792709249851066
341,STLD,2.2992053805482624,1.214344094159789,0.4233362219982657,51.36557154627017,118.0999984741211,15361001460.37971,44063182960.6785,18653541403.791992,0.08877351164339076,0.0386105183966741,0.07310408315924129,0.20969977769526757
29,SHEL,1.2385564279954813,1.2355861203792395,0.47684983776791867,53.12636676412927,65.80000305175781,175100480946.02713,453710385939.01825,216351723928.64062,0.08934525525840331,0.07213660454938052,0.07231001852868053,0.18736559852178744
215,PRU,1.109859087707916,1.3811916897945036,-2.557099271194598,93.44429417490723,103.70999908447266,26984885404.663185,-14575616946.449554,37271299470.97778,0.09864493731598746,0.08888059611216885,0.071420164228373,-0.038576890004705836
164,NUE,2.1402051493294643,1.2357119605121862,0.4664546540656416,81.31930405861341,174.0399932861328,33799233901.96422,89539502339.12477,41766117588.80615,0.08817283170533069,0.04119830836448348,0.07135387090433618,0.18902765989536596
89,RIO,1.3153490207868392,1.3050144278893165,0.9012229870678747,56.60854868765617,74.45999908447266,93627422101.8715,135577030815.1529,122185136689.02539,0.09261355600722913,0.07040987186186362,0.0709674575452924,0.10276430732037467
317,FITB,1.1908836078004033,1.3183358282417459,1.018396319900937,28.961689834803284,34.4900016784668,17882879835.4048,23149770613.32006,23575641199.156006,0.09252664568368524,0.07769579250031382,0.07018442774712973,0.09085524355850544
