,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
58,601318.SS,0.7393938901664749,0.7364473174214087,0.6456132683728153,51.880332148423335,38.36000061035156,844272079807.4424,963056273479.4078,621761908347.9844,0.1679950131997156,0.22720638543806662,0.2281154526951529,0.2602099762031306
94,MBG.DE,1.3827861872525216,0.9548195205703568,0.46216533297452167,55.13505888806419,76.23999786376953,85424101159.82231,176483594711.92035,81564599314.5752,0.12163487693645972,0.08796361871254865,0.1273904380000544,0.2631847701635493
34,3968.HK,0.9589118807576837,1.0273318316707567,0.48735188405029917,33.110445951418136,31.75,865422622680.8229,1824300340729.2444,889076208128.0,0.11283437074927913,0.11766917587893802,0.10983244874810881,0.23152546330904014
28,C,1.0215758032510103,1.1094350600315745,0.9437457765265339,57.3232071344414,58.560001373291016,103398890367.7358,121552177499.04483,114714354142.32715,0.1111360482767686,0.108788841633773,0.10017354983680223,0.11776057815676375
13,T,0.6789143892089763,1.2340958814612721,12.026690078974507,23.92054142502397,16.239999771118164,94398254957.7839,9686497024.164246,116496497660.53223,0.10600919553810713,0.15614515942374066,0.08590029116099425,0.008814494664948274
86,1299.HK,0.7194090499997853,1.2438204342991326,9.20688338929313,65.67890687504432,47.25,426811911006.38135,57660921080.99989,530877376512.0,0.10532722212099195,0.14640797488024843,0.08468040821369982,0.011440051716466736
55,600028.SS,1.2590851588767669,1.2271441836791417,1.3016395426686065,5.281612644294778,6.650000095367432,613007040584.118,577923457107.7288,752248024407.1641,0.1017885026156684,0.08084322327051666,0.08294746776250278,0.07820022308709428
35,PBR,1.4062095526237688,1.1386947596531969,0.23209353203716504,11.228767385622817,15.789999961853027,89504905955.60095,439127994995.46075,101918767374.89502,0.07874383274553674,0.05599722502141517,0.0691527137347318,0.33927629113304
99,STLA,1.908391091039331,1.2109182336327178,0.30373144045180667,13.755042204532593,26.25,65143850054.47542,259715871767.04077,78883875840.0,0.0817382382301057,0.04283096825063785,0.0675010384350176,0.2691135238041818
45,RIO,1.2162702991782497,1.3449821730606535,0.6985150543299737,54.89733383128595,66.7699966430664,80961062369.22415,155889532979.5122,108891185598.6582,0.08752590898521213,0.07196254734194149,0.06507588779859988,0.12530282410186322
63,UBS,1.6705096625212275,1.2528802518638198,0.34437641188311713,17.012772038325643,28.420000076293945,73357148669.81361,266881585759.2524,91907722901.44775,0.08138838604038943,0.04872069157478173,0.06496102554040084,0.23633554224966202
71,GILD,0.8754398176857385,1.4687535865229706,-24.503074111797645,77.38967160426851,67.75,57519666464.94976,-3447821119.527359,84482216416.0,0.0894744517920627,0.10220514304294741,0.060918626931750035,-0.0036515602647988928
36,TD,1.0306666638715092,1.4319846057637216,1.191804717501728,54.88680450993675,56.56999969482422,69853639388.13242,83930978617.08284,100029336260.37598,0.08592170920483619,0.08336517733297702,0.0600018386084615,0.07209378176061097
46,NPPXF,0.7666658608441308,1.6325355929248193,1.1331554399851655,1.3956537092625634,1.0700000524520874,56675468557.92312,81652275055.67307,92524719666.50098,0.07422651333427077,0.09681729306760094,0.0454670107383619,0.06550426421219184
8,GS,1.6116127318177853,1.6333175885379538,1.0633272135309073,248.74462516230446,400.8800048828125,79651617949.02293,122348404984.05345,130096388551.64453,0.07382218758660997,0.04580640629671854,0.04519769339696579,0.06942565434912026
31,ALV.DE,1.4559569898130629,1.721116713692639,1.494639332975313,181.32403762414452,264.0,60045421260.405945,69143890323.20947,103345178112.0,0.07161727460548634,0.049189141648120806,0.04161093436355759,0.04791609121039319
7,MUFG,1.6808726692953324,1.8332653770335035,1.5876492439651708,5.919544050553482,9.949999809265137,64105523249.30832,74022922063.09985,117522436249.57324,0.06715066760771186,0.0399498836731418,0.03662899460653735,0.042295656841685236
16,BUD,0.6628911582890319,1.8661827706531235,2.9611220472743836,87.49551004678057,58.0,61258288123.617584,38606703820.67739,114319161856.0,0.06809357131051638,0.10272209918483545,0.03648815774174418,0.022995867857994675
