,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
41,MRVL,2.2111513620922807,8.858702391427646e-06,-6.3283788672624155,30.69893740299496,67.87999725341797,6635743591334991.0,-9288963074.81813,58784077621.45996,1.9187323107666346e-05,8.677525852192463e-06,2.165929304300081,-3.031949178473659e-06
21,EQNR,1.2243124989819838,0.5101598863251318,0.17501634354647017,22.690285943943714,27.780000686645508,159604352839.37494,465235056632.93774,81423738501.53174,0.21421847863585178,0.17497042529090776,0.41990459143886405,1.2239912815854979
46,VOW3.DE,0.8049550582800671,0.5800229549984113,0.3217619523251341,153.17625721268303,123.30000305175781,116929054286.16058,210781713319.84024,67821535592.228516,0.204281720828326,0.25378028093246724,0.3521959244335175,0.6348846386346617
81,601658.SS,0.9412624062275233,0.8259360841855999,0.45895484154143423,5.025166189342256,4.730000019073486,540669396245.6977,972989766213.9576,446558363974.16406,0.1429617781864485,0.1518830213982769,0.1730906070382111,0.3114942152179954
19,BMW.DE,1.3216940857449502,0.8307811330910937,0.3689733690941887,82.9995368303488,109.69999694824219,83778737065.88779,188636362237.7626,69601794108.53906,0.13811138237341297,0.10449572549578964,0.16624280074770223,0.3743126034067704
33,BNP.PA,1.265577731165528,1.0654141209413512,1.3745477301312101,51.968358026097555,65.7699966430664,70165053730.83058,54385044187.80691,74754839041.43555,0.11840705047995273,0.09355968232066338,0.1111371138720535,0.08614255284438174
0,P911.DE,0.9389324799721671,1.0460381527430935,0.560679577676475,99.1977606232233,93.13999938964844,40576127912.425415,75701308870.34416,42444177886.98096,0.11097321001737277,0.11819083095374693,0.10608906541923022,0.19792625669952055
70,9433.T,1.3342556039229492,1.1367030593885714,0.856046740718997,3208.530649909281,4281.0,7842076352199.554,10413113861069.084,8914112181504.0,0.10721547567696481,0.080356024259319,0.09432144550981998,0.1252448850946084
57,SAN,0.9341847958423776,1.1692117480483901,0.7176527796881956,4.966897221123785,4.639999866485596,63374729798.87898,103251155304.4299,74098478610.2417,0.10204457758005696,0.10923382400806558,0.0872763874895941,0.1421921303285317
60,USB,0.8835178590823347,1.3028640364829451,1.4074396120862283,46.90340800779128,41.439998626708984,49618683183.68634,45931915872.28496,64646397857.666016,0.0959403803697706,0.10858906742351425,0.07363806021444855,0.06816660519278656
