,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
6,GM,1.1381863994895338,0.8001861542880067,0.4775316320298341,37.50703632186701,42.689998626708984,61879159483.95604,103689145046.9349,49514846658.041016,0.14901995054046538,0.13092754456326264,0.18623160341116005,0.3120629934126652
87,LYG,0.7800136521198882,0.7972069435241887,0.3832250621316236,3.166611279042832,2.4700000286102295,49079515423.888054,102098047197.36092,39126530480.726074,0.14568709551442985,0.18677505851146015,0.1827468973995576,0.3801606677393968
40,ACA.PA,1.2441256807606453,0.8969930658655634,0.5946500413360336,11.108202256844997,13.819999694824219,46609351216.55466,70307343713.97539,41808264845.74219,0.13458343752749719,0.10817511414539269,0.15003843691659915,0.22632376721125086
27,NDA-FI.HE,1.154084829533858,1.0561173908255195,0.6903673509691277,9.280080427426473,10.710000038146973,35514205457.44039,54329292879.075676,37507170004.95337,0.11379957483959223,0.09860590134050769,0.10775277050465026,0.16483916088998418
75,CHTR,0.6983865700416605,1.1733617281754223,0.590748437242736,367.8478437538678,256.8999938964844,31612384849.484608,62789438245.26198,37092762518.73779,0.09977687690773643,0.14286769131569138,0.08503505313991236,0.16889909582060994
11,HYMTF,1.2802124607209973,1.2242615879172296,0.5541441481996424,41.711827656953744,53.400001525878906,33948427731.620342,75001705200.77985,41561756042.006836,0.09353369766809769,0.07306107426529879,0.0764000917706007,0.16878947106448583
81,PRU,1.1755766119466995,1.4129513330485368,-9.391063481435914,92.17604323627407,108.36000061035156,27561046235.985554,-4146752611.813222,38942417019.348145,0.09388990925199647,0.07986711227311609,0.06644949974987654,-0.009997793054811776
20,O39.SI,1.2666180319340885,1.4141905650296946,0.9568185759428087,10.824099841064323,13.710000038146973,43626245635.40926,64480170553.201485,61695824965.26367,0.08537158394373517,0.06740120682900375,0.06036780760303162,0.08922442152590276
44,BK,1.2160354426550872,1.4681492025443486,1.7834415625463975,45.30295599962497,55.09000015258789,28060624548.725468,23099822511.3058,41197183554.107666,0.08569517853965027,0.07047095465617657,0.058369529739305676,0.04805045499629083
30,MFC,1.2774539447966236,1.4371331267384684,0.7749521691179684,17.988906477481542,22.979999542236328,28882718886.755165,53562418116.30053,41508312102.430664,0.08215501011462012,0.06431152406648959,0.057165901047085674,0.10601300749712972
