,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Book MoS,Average Market Price,Current Price,PAD Value,DCF Value,Book Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE,Book MOSEE
13,601939.SS,1.1664485152608024,0.5418393272864651,0.36936934624838097,0.397803904318353,6.12114445950423,7.139999866485596,2226074031314.475,3265496901321.685,3032083000000.0,1206174455617.3047,0.2231278392164773,0.19128820200571722,0.41179705492014207,0.6040778464232271,0.5608990680943982
11,601988.SS,1.2967142829417955,0.7497426658760633,0.5551063649259039,0.5025212990016593,3.5397158903615766,4.590000152587891,1660136152436.8706,2242227766225.2896,2476860000000.0,1244674904645.25,0.16243767689493568,0.12526867254552088,0.21665790715689048,0.292624417874614,0.32324535739608384
9,601288.SS,1.3229029128897691,0.8419109937476285,0.5623140402955645,0.328700620263487,3.3033413434801413,4.369999885559082,1773410976820.4707,2655196368621.87,4542292000000.0,1493054197817.875,0.14332205777442417,0.10833905978886182,0.17023421577671718,0.2548790311177202,0.4360261251090337
17,HSBC,1.0484296913237583,1.059696625903251,0.6010852464593285,0.0544867459723066,38.69596600569382,40.56999969482422,144149343652.56287,254131296674.78033,2803518000000.0,152754573094.78906,0.11169681963899282,0.10653725334501281,0.10540452513358348,0.1858252557302629,2.049981470645426
8,WFC,1.19352722089361,1.3055197176633924,2.056254732280033,1.0596056505066707,47.732469124624494,56.970001220703125,152135321482.08563,96590981083.21007,187443000000.0,198615661947.92188,0.09719324151315742,0.08143361945309259,0.07444793073452236,0.04726712113405658,0.09172586184934237
15,PFE,0.7185065267182374,1.3353343323901221,1.0847737475493098,1.6443570404155872,36.06091090884791,25.90999984741211,109951004675.983,135347441580.62602,89288000000.0,146821351424.62695,0.09212488421306851,0.12821718493476583,0.06899012627659597,0.0849254366831742,0.056024866831710284
0,2222.SR,0.9889946864328178,1.4003688707255981,1.0473158405682585,4.220686767406893,30.637170909733516,30.299999237060547,5235564265556.303,7000487278212.357,1737092000000.0,7331721218168.375,0.08692895652123844,0.08789628267344943,0.06207575613716434,0.08300166306476567,0.020595926992859004
16,BHP,1.2521763077232233,1.4323619271421388,0.8893291973119061,3.1179738101869776,47.16588311807081,59.060001373291016,105640387489.4103,170145396626.73938,48530000000.0,151315269008.37402,0.08275327014513226,0.06608755463166274,0.057773994531006775,0.09305133621527663,0.026540720090323575
10,INTC,0.8688795117282446,1.5173762217589286,10.259668498700684,1.4289098598032257,41.78945513523344,36.310001373291016,103553799301.74336,15315316742.75452,109965000000.0,157130072733.26172,0.08629856630321257,0.09932167249698458,0.05687354597080483,0.0084114380804937,0.060394688798002055
6,BAC,1.3389960684961544,1.5539193648030514,0.9322728631916851,0.9639847780887403,26.84847372503148,35.95000076293945,180924641881.98184,301566543112.6712,291646000000.0,281142304590.46875,0.07695426709799216,0.05747161542036534,0.04952269007069462,0.08254478933832225,0.07982933843682342
12,CMCSA,1.0249072162012016,1.6241633583786506,1.6593748503431227,1.8535317580815995,38.47177547575701,39.43000030517578,95254417884.56401,93233144530.18645,83467000000.0,154708735251.79688,0.07672546725096528,0.0748608908573663,0.04723999396683707,0.04623757388820261,0.04139420159187126
3,JPM,1.7253618817198695,1.8853436050569798,1.0275466539208975,1.60181447817027,106.00095048311873,182.88999938964844,278569766309.3295,511120079530.65906,327878000000.0,525199727473.5117,0.06263502869326812,0.03630254577714008,0.03322207608483926,0.060955897675561775,0.03910254873261929
14,TTE,1.3567353978285257,1.8732452422004107,0.6672269924809388,1.3985040124350685,53.19386395052006,72.16999816894531,89179727263.6733,250372814169.6526,119453000000.0,167055499797.40625,0.05865535712313099,0.0432327167235481,0.031312161270582686,0.08790914903642279,0.04194150077624773
4,005930.KS,1.6583688108881665,2.186168360406242,2.0262892690856433,1.501905999163298,49566.77878907796,82200.0,249848079909500.3,269561693653382.25,363677865000000.0,546209967206400.0,0.05673529258079217,0.03421150482829369,0.02595193197757624,0.027999601757943374,0.03777552830363487
1,BRK-B,1.8454608625766606,2.4604655697118747,1.2175706824776653,1.5138309446559035,216.8889180379452,400.260009765625,351173086475.0251,709650208169.4135,570770000000.0,864049288281.25,0.04740782795097512,0.02568888287600073,0.019267828225097525,0.03893640725194182,0.03131646114008523
7,601857.SS,1.5009186533037062,2.50435782016066,0.9924288985098094,1.1498337978929307,7.108979592470228,10.670000076293945,748672223378.0823,1889246816743.5537,1630621000000.0,1874943137353.9688,0.044802158703622294,0.02984982470902553,0.01788967947908823,0.045143948116480065,0.03896403009349891
5,MRK,1.733095722009924,5.454751562582804,5.502152381287225,8.492501609262073,72.81190579309714,126.19000244140625,58593923920.75167,58089139652.25448,37635000000.0,319615298064.5781,0.022856540485505696,0.013188273558830479,0.004190207422514255,0.0041541089562042305,0.0026913789996316217
2,TSLA,1.6684425918224643,14.47938926289253,2.573784885877929,8.096212512456226,96.78486782763804,161.47999572753906,35567244747.30703,200091306981.60974,63609000000.0,514991981704.8281,0.005447869480826321,0.0032652423928326672,0.00037624994962929853,0.0021166763045032135,0.0006728911169815067
