,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Book MoS,Average Market Price,Current Price,PAD Value,DCF Value,Book Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE,Book MOSEE
2,WBA,0.2974990211335488,0.8063023025677316,-0.4704235244274638,0.5348123398345637,59.32792501729644,17.649999618530273,18897135123.34511,-32389544252.556046,28490000000.0,15236803561.886719,0.17764880862353433,0.5971408172929311,0.220325314783051,-0.3776358948880044,0.33217036218440166
12,012330.KS,1.0080786449314725,1.066813491115225,0.8576706579993691,0.5368816866898458,240556.6284131381,242500.0,20460076369284.02,25449262250517.676,40655299000000.0,21827085500000.0,0.11462486368141088,0.11370627109078665,0.10744601998010392,0.13364671230421782,0.21350116147215348
0,RF,1.255032879701149,1.3084491554499744,0.7286444214910444,1.005470857935948,15.314339268889272,19.219999313354492,13442403661.321327,24138936906.812943,17493000000.0,17588701717.873535,0.09050127891943396,0.07211068361888998,0.06916682894591396,0.12420499800744897,0.09000885327021503
5,1295.KL,1.0133357353601062,1.4373177173557479,1.2273314146725738,1.4353690332119757,4.065779723138816,4.119999885559082,56303679060.547745,65936775102.938705,56380118000.0,80926275466.03711,0.0856886896136748,0.08456100641040144,0.05961708297266203,0.06981707515124165,0.059698020251925187
13,CE,1.530884807775957,1.5661793121620338,0.6875701796913976,2.258583078170227,101.75814534707636,155.77999877929688,10890719392.018688,24807386809.58673,7552000000.0,17056819406.341553,0.07322584417676571,0.04783236714142258,0.04675444478683671,0.10649944738678414,0.032421142655548914
4,6326.T,1.350149272338462,2.221530469654176,1.3612854832211772,1.2408436472796491,1889.7910418310971,2551.5,1349502709642.6414,2202301740012.6797,2416067000000.0,2997961388352.0,0.05381973918239652,0.03986206583600981,0.024226424043049293,0.03953596791103962,0.04337350584047207
7,BANKBARODA.NS,1.8974505890966233,2.217257747925118,0.4962516427131222,1.1203724526139105,137.76379495654587,261.3999938964844,610045153237.2477,2725688393098.968,1207301500000.0,1352627342599.4531,0.042331993666459504,0.02230993202653766,0.01909204904394776,0.08530348319860612,0.037783858008732615
1,000625.SZ,1.9713008395198786,3.129136372066323,1.8695428286701425,2.038033537488212,9.075225369459918,17.889999389648438,49730373461.44221,83235921642.58282,76354543501.0,155613120394.64062,0.03789181396696083,0.019221730751248296,0.012109352058037341,0.020267957163577967,0.01859234073923084
6,000063.SZ,1.1166155471134878,3.486292652612242,1.0531114781224633,1.8462265431688731,25.245932323735158,28.190000534057617,36186097973.60446,119792947007.85109,68331445000.0,126155327492.08398,0.030239505345022996,0.027081393791438577,0.0086738287224295,0.028714439043941872,0.016379087093569646
9,VTR,0.7236260610393206,5.968294106024461,-3.4748235697894665,1.7722709774058263,58.372692683012076,42.2400016784668,2924055796.7827663,-5022305342.162338,9847041000.0,17451624977.625244,0.023952657734505233,0.033100877682739636,0.00401331725766114,-0.006893201123289399,0.013515234430778808
10,035720.KS,1.0678823009654674,7.702788897947145,8.004235570325982,1.511240443084595,44714.665611396915,47750.0,2718973077086.6196,2616574118538.4736,13858599224126.0,20943675632000.0,0.01636845575832016,0.015327958655669745,0.0021250038103319286,0.0020449742657503442,0.010831139302300884
3,300015.SZ,0.9784631875130123,8.13344581429578,2.6252187024268805,5.77559526148685,12.672934226629113,12.399999618530273,14219670297.61812,44055345848.294876,20024761540.0,115654917862.82812,0.013227634666728652,0.01351878623083379,0.0016263260331161307,0.0050386791220481475,0.002290263439153001
8,BGNE,0.8345146012029125,-2.175171580010614,-0.7917751247518297,4.2798804562780255,165.84490396811208,138.39999389648438,-7027365503.652142,-19305640260.77758,3571531000.0,15285725725.891113,-0.051107648665759196,0.0,0.0,0.0,0.0
11,PNB.NS,1.4246664516579168,-986.3566308136491,0.7704560613578239,0.09628870327863209,93.24990137088933,132.85000610351562,-1489739144.9105294,1907200368020.357,15260503400000.0,1469414083765.1562,-0.0025688331435669526,0.0,0.0,0.0,0.0
