ticker,cap,country,industry,financial_currency,currency
AMUN.PA,large,France,Asset Management,EUR,EUR
TOST,large,United States,Software - Infrastructure,USD,USD
0012.HK,large,Hong Kong,Real Estate - Diversified,HKD,HKD
PNDORA.CO,large,Denmark,Luxury Goods,DKK,DKK
BVI.PA,large,France,Consulting Services,EUR,EUR
LUND-B.ST,large,Sweden,Asset Management,SEK,SEK
SPL.WA,large,Poland,Banks - Regional,PLN,PLN
5020.T,large,Japan,Oil & Gas Refining & Marketing,JPY,JPY
AMCR,large,Switzerland,Packaging & Containers,USD,USD
MTX.DE,large,Germany,Aerospace & Defense,EUR,EUR
NXT.L,large,United Kingdom,Apparel Retail,GBP,GBP
MORN,large,United States,Financial Data & Stock Exchanges,USD,USD
BG,large,United States,Farm Products,USD,USD
PNR,large,United Kingdom,Specialty Industrial Machinery,USD,USD
OC,large,United States,Building Products & Equipment,USD,USD
ATGL.NS,large,India,Utilities - Regulated Gas,INR,INR
OVV,large,United States,Oil & Gas E&P,USD,USD
TAP,large,United States,Beverages - Brewers,USD,USD
ADP.PA,large,France,Airports & Air Services,EUR,EUR
BLD,large,United States,Engineering & Construction,USD,USD
BNZL.L,large,United Kingdom,Food Distribution,GBP,GBP
XRO.AX,large,New Zealand,Software - Application,NZD,AUD
UDR,large,United States,REIT - Residential,USD,USD
RVTY,large,United States,Diagnostics & Research,USD,USD
PATH,large,United States,Software - Infrastructure,USD,USD
SQM,large,Chile,Specialty Chemicals,USD,USD
INCY,large,United States,Biotechnology,USD,USD
NBIX,large,United States,Drug Manufacturers - Specialty & Generic,USD,USD
CAG,large,United States,Packaged Foods,USD,USD
ASII.JK,large,Indonesia,Auto Parts,IDR,IDR
6988.T,large,Japan,Specialty Chemicals,JPY,JPY
OTP.BD,large,Hungary,Banks - Regional,HUF,HUF
EDEN.PA,large,France,Credit Services,EUR,EUR
ADE.OL,large,Norway,Internet Content & Information,EUR,NOK
WES,large,United States,Oil & Gas Midstream,USD,USD
BNR.DE,large,Germany,Specialty Chemicals,EUR,EUR
BIM.PA,large,France,Diagnostics & Research,EUR,EUR
1140.SR,large,Saudi Arabia,Banks - Regional,SAR,SAR
TRYG.CO,large,Denmark,Insurance - Diversified,DKK,DKK
CANBK.NS,large,India,Banks - Regional,INR,INR
BBSE3.SA,large,Brazil,Insurance - Diversified,BRL,BRL
BDMS.BK,large,Thailand,Medical Care Facilities,THB,THB
ELS,large,United States,REIT - Residential,USD,USD
LDO.MI,large,Italy,Aerospace & Defense,EUR,EUR
KIM,large,United States,REIT - Retail,USD,USD
YNDX.ME,large,Netherlands,Internet Content & Information,RUB,RUB
601229.SS,large,China,Banks - Regional,CNY,CNY
Z,large,United States,Internet Content & Information,USD,USD
GFL,large,Canada,Waste Management,CAD,USD
GZ5.F,large,Portugal,Oil & Gas Integrated,EUR,EUR
TVSMOTOR.NS,large,India,Auto Manufacturers,INR,INR
USFD,large,United States,Food Distribution,USD,USD
QIBK.QA,large,Qatar,Banks - Regional,QAR,QAR
086790.KS,large,South Korea,Banks - Regional,KRW,KRW
FOX,large,United States,Entertainment,USD,USD
7832.T,large,Japan,Leisure,JPY,JPY
SUN.AX,large,Australia,Insurance - Property & Casualty,AUD,AUD
AZPN,large,United States,Software - Application,USD,USD
0006.HK,large,Hong Kong,Utilities - Independent Power Producers,HKD,HKD
601009.SS,large,China,Banks - Regional,CNY,CNY
TFII,large,Canada,Trucking,USD,USD
RDY,large,India,Drug Manufacturers - Specialty & Generic,INR,USD
FLEX,large,Singapore,Electronic Components,USD,USD
WMS,large,United States,Building Products & Equipment,USD,USD
NRG,large,United States,Utilities - Independent Power Producers,USD,USD
KMX,large,United States,Auto & Truck Dealerships,USD,USD
UHAL,large,United States,Rental & Leasing Services,USD,USD
MEDP,large,United States,Diagnostics & Research,USD,USD
KNSL,large,United States,Insurance - Property & Casualty,USD,USD
VEDL.NS,large,India,Other Industrial Metals & Mining,INR,INR
SJM,large,United States,Packaged Foods,USD,USD
BRKR,large,United States,Medical Devices,USD,USD
WPC,large,United States,REIT - Diversified,USD,USD
AOS,large,United States,Specialty Industrial Machinery,USD,USD
JKHY,large,United States,Information Technology Services,USD,USD
LNT,large,United States,Utilities - Regulated Electric,USD,USD
2884.TW,large,Taiwan,Banks - Regional,TWD,TWD
TOL,large,United States,Residential Construction,USD,USD
FMS,large,Germany,Medical Care Facilities,EUR,USD
CPB,large,United States,Packaged Foods,USD,USD
INDHOTEL.NS,large,India,Lodging,INR,INR
A5G.IR,large,Ireland,Banks - Regional,EUR,EUR
688012.SS,large,China,Semiconductor Equipment & Materials,CNY,CNY
CPI.JO,large,South Africa,Banks - Regional,ZAR,ZAc
7309.T,large,Japan,Leisure,JPY,JPY
POLI.TA,large,Israel,Banks - Regional,ILS,ILA
EICHERMOT.NS,large,India,Auto Manufacturers,INR,INR
AKZA.AS,large,Netherlands,Specialty Chemicals,EUR,EUR
IP,large,United States,Packaging & Containers,USD,USD
LUMI.TA,large,Israel,Banks - Regional,ILS,ILA
RNO.PA,large,France,Auto Manufacturers,EUR,EUR
CPR.MI,large,Italy,Beverages - Wineries & Distilleries,EUR,EUR
MRU.TO,large,Canada,Grocery Stores,CAD,CAD
GLPI,large,United States,REIT - Specialty,USD,USD
ENR.F,large,Germany,Specialty Industrial Machinery,EUR,EUR
PWF-PS.TO,large,Canada,Insurance - Life,CAD,CAD
GRAB,large,Singapore,Software - Application,USD,USD
IPG,large,United States,Advertising Agencies,USD,USD
SW.PA,large,France,Specialty Business Services,EUR,EUR
