ticker,cap,country,industry,financial_currency,currency
MSFT,mega,United States,Software - Infrastructure,USD,USD
AAPL,mega,United States,Consumer Electronics,USD,USD
NVDA,mega,United States,Semiconductors,USD,USD
2222.SR,mega,Saudi Arabia,Oil & Gas Integrated,SAR,SAR
AMZN,mega,United States,Internet Retail,USD,USD
GOOG,mega,United States,Internet Content & Information,USD,USD
META,mega,United States,Internet Content & Information,USD,USD
BRK-B,mega,United States,Insurance - Diversified,USD,USD
TSM,mega,Taiwan,Semiconductors,TWD,USD
LLY,mega,United States,Drug Manufacturers - General,USD,USD
AVGO,mega,United States,Semiconductors,USD,USD
NVO,mega,Denmark,Biotechnology,DKK,USD
V,mega,United States,Credit Services,USD,USD
TSLA,mega,United States,Auto Manufacturers,USD,USD
JPM,mega,United States,Banks - Diversified,USD,USD
WMT,mega,United States,Discount Stores,USD,USD
MC.PA,mega,France,Luxury Goods,EUR,EUR
UNH,mega,United States,Healthcare Plans,USD,USD
MA,mega,United States,Credit Services,USD,USD
XOM,mega,United States,Oil & Gas Integrated,USD,USD
ASML,mega,Netherlands,Semiconductor Equipment & Materials,EUR,USD
JNJ,mega,United States,Drug Manufacturers - General,USD,USD
PG,mega,United States,Household & Personal Products,USD,USD
HD,mega,United States,Home Improvement Retail,USD,USD
005930.KS,mega,South Korea,Consumer Electronics,KRW,KRW
COST,mega,United States,Discount Stores,USD,USD
AMD,mega,United States,Semiconductors,USD,USD
TM,mega,Japan,Auto Manufacturers,JPY,USD
TCEHY,mega,China,Internet Content & Information,CNY,USD
ABBV,mega,United States,Drug Manufacturers - General,USD,USD
MRK,mega,United States,Drug Manufacturers - General,USD,USD
ORCL,mega,United States,Software - Infrastructure,USD,USD
600519.SS,mega,China,Beverages - Wineries & Distilleries,CNY,CNY
CRM,mega,United States,Software - Application,USD,USD
BAC,mega,United States,Banks - Diversified,USD,USD
CVX,mega,United States,Oil & Gas Integrated,USD,USD
NESN.SW,mega,Switzerland,Packaged Foods,CHF,CHF
RMS.PA,mega,France,Luxury Goods,EUR,EUR
NFLX,mega,United States,Entertainment,USD,USD
OR.PA,mega,France,Household & Personal Products,EUR,EUR
KO,mega,United States,Beverages - Non-Alcoholic,USD,USD
ADBE,mega,United States,Software - Infrastructure,USD,USD
1398.HK,mega,China,Banks - Diversified,CNY,HKD
ACN,mega,Ireland,Information Technology Services,USD,USD
RELIANCE.NS,mega,India,Oil & Gas Refining & Marketing,INR,INR
TMO,mega,United States,Diagnostics & Research,USD,USD
SAP,mega,Germany,Software - Application,EUR,USD
LIN,mega,United Kingdom,Specialty Chemicals,USD,USD
PEP,mega,United States,Beverages - Non-Alcoholic,USD,USD
601857.SS,mega,China,Oil & Gas Integrated,CNY,CNY
ROG.SW,mega,Switzerland,Drug Manufacturers - General,CHF,CHF
MCD,mega,United States,Restaurants,USD,USD
ABT,mega,United States,Medical Devices,USD,USD
SHEL,mega,United Kingdom,Oil & Gas Integrated,USD,USD
WFC,mega,United States,Banks - Diversified,USD,USD
NVS,mega,Switzerland,Drug Manufacturers - General,USD,USD
AZN,mega,United Kingdom,Drug Manufacturers - General,USD,USD
601288.SS,mega,China,Banks - Diversified,CNY,CNY
DIS,mega,United States,Entertainment,USD,USD
CSCO,mega,United States,Communication Equipment,USD,USD
TMUS,mega,United States,Telecom Services,USD,USD
INTC,mega,United States,Semiconductors,USD,USD
QCOM,mega,United States,Semiconductors,USD,USD
0941.HK,mega,Hong Kong,Telecom Services,CNY,HKD
DHR,mega,United States,Diagnostics & Research,USD,USD
INTU,mega,United States,Software - Application,USD,USD
BABA,mega,China,Internet Retail,CNY,USD
IBM,mega,United States,Information Technology Services,USD,USD
TCS.NS,mega,India,Information Technology Services,INR,INR
GE,mega,United States,Aerospace & Defense,USD,USD
AMAT,mega,United States,Semiconductor Equipment & Materials,USD,USD
CAT,mega,United States,Farm & Heavy Construction Machinery,USD,USD
VZ,mega,United States,Telecom Services,USD,USD
601988.SS,mega,China,Banks - Diversified,CNY,CNY
CMCSA,mega,United States,Telecom Services,USD,USD
UBER,mega,United States,Software - Application,USD,USD
AXP,mega,United States,Credit Services,USD,USD
TXN,mega,United States,Semiconductors,USD,USD
601939.SS,mega,China,Banks - Diversified,CNY,CNY
CDI.PA,mega,France,Luxury Goods,EUR,EUR
SIE.DE,mega,Germany,Specialty Industrial Machinery,EUR,EUR
PDD,mega,Ireland,Internet Retail,CNY,USD
UNP,mega,United States,Railroads,USD,USD
TTE,mega,France,Oil & Gas Integrated,USD,USD
NOW,mega,United States,Software - Application,USD,USD
PFE,mega,United States,Drug Manufacturers - General,USD,USD
NKE,mega,United States,Footwear & Accessories,USD,USD
ARM,mega,United Kingdom,Semiconductors,USD,USD
BHP,mega,Australia,Other Industrial Metals & Mining,USD,USD
AMGN,mega,United States,Drug Manufacturers - General,USD,USD
HSBC,mega,United Kingdom,Banks - Diversified,USD,USD
HDB,mega,India,Banks - Regional,INR,USD
MS,mega,United States,Capital Markets,USD,USD
PM,mega,United States,Tobacco,USD,USD
RY,mega,Canada,Banks - Diversified,CAD,USD
IDEXY,mega,Spain,Apparel Retail,EUR,USD
LOW,mega,United States,Home Improvement Retail,USD,USD
ISRG,mega,United States,Medical Instruments & Supplies,USD,USD
AIR.PA,mega,Netherlands,Aerospace & Defense,EUR,EUR
SYK,mega,United States,Medical Devices,USD,USD
SPGI,mega,United States,Financial Data & Stock Exchanges,USD,USD
COP,mega,United States,Oil & Gas E&P,USD,USD
HON,mega,United States,Conglomerates,USD,USD
CBA.AX,mega,Australia,Banks - Diversified,AUD,AUD
UPS,mega,United States,Integrated Freight & Logistics,USD,USD
LRCX,mega,United States,Semiconductor Equipment & Materials,USD,USD
SU.PA,mega,France,Specialty Industrial Machinery,EUR,EUR
MUFG,mega,Japan,Banks - Diversified,JPY,USD
GS,mega,United States,Capital Markets,USD,USD
PRX.AS,mega,Netherlands,Internet Content & Information,USD,EUR
SCHW,mega,United States,Capital Markets,USD,USD
BLK,mega,United States,Asset Management,USD,USD
PLD,mega,United States,REIT - Industrial,USD,USD
T,mega,United States,Telecom Services,USD,USD
BA,mega,United States,Aerospace & Defense,USD,USD
UL,mega,United Kingdom,Household & Personal Products,EUR,USD
BUD,mega,Belgium,Beverages - Brewers,USD,USD
RTX,mega,United States,Aerospace & Defense,USD,USD
DTE.DE,mega,Germany,Telecom Services,EUR,EUR
SNY,mega,France,Drug Manufacturers - General,EUR,USD
8035.T,mega,Japan,Semiconductor Equipment & Materials,JPY,JPY
ETN,mega,Ireland,Specialty Industrial Machinery,USD,USD
6861.T,mega,Japan,Scientific & Technical Instruments,JPY,JPY
BKNG,mega,United States,Travel Services,USD,USD
ELV,mega,United States,Healthcare Plans,USD,USD
NEE,mega,United States,Utilities - Regulated Electric,USD,USD
PGR,mega,United States,Insurance - Property & Casualty,USD,USD
MDT,mega,Ireland,Medical Devices,USD,USD
C,mega,United States,Banks - Diversified,USD,USD
AI.PA,mega,France,Specialty Chemicals,EUR,EUR
0883.HK,mega,Hong Kong,Oil & Gas E&P,CNY,HKD
ALV.DE,mega,Germany,Insurance - Diversified,EUR,EUR
TJX,mega,United States,Apparel Retail,USD,USD
MU,mega,United States,Semiconductors,USD,USD
3968.HK,mega,China,Banks - Regional,CNY,HKD
PBR,mega,Brazil,Oil & Gas Integrated,BRL,USD
TD,mega,Canada,Banks - Diversified,CAD,USD
BMY,mega,United States,Drug Manufacturers - General,USD,USD
REGN,mega,United States,Biotechnology,USD,USD
SONY,mega,Japan,Consumer Electronics,JPY,USD
VRTX,mega,United States,Biotechnology,USD,USD
601088.SS,mega,China,Thermal Coal,CNY,CNY
ABNB,mega,United States,Travel Services,USD,USD
LMT,mega,United States,Aerospace & Defense,USD,USD
DE,mega,United States,Farm & Heavy Construction Machinery,USD,USD
RIO,mega,United Kingdom,Other Industrial Metals & Mining,USD,USD
NPPXF,mega,Japan,Telecom Services,JPY,USD
SBUX,mega,United States,Restaurants,USD,USD
BP,mega,United Kingdom,Oil & Gas Integrated,USD,USD
CB,mega,Switzerland,Insurance - Property & Casualty,USD,USD
ADP,mega,United States,Staffing & Employment Services,USD,USD
EL.PA,mega,France,Medical Instruments & Supplies,EUR,EUR
MMC,mega,United States,Insurance Brokers,USD,USD
CI,mega,United States,Healthcare Plans,USD,USD
BSX,extra_large,United States,Medical Devices,USD,USD
600028.SS,extra_large,China,Oil & Gas Integrated,CNY,CNY
300750.SZ,extra_large,China,Electrical Equipment & Parts,CNY,CNY
ADI,extra_large,United States,Semiconductors,USD,USD
601318.SS,extra_large,China,Insurance - Life,CNY,CNY
KLAC,extra_large,United States,Semiconductor Equipment & Materials,USD,USD
MDLZ,extra_large,United States,Confectioners,USD,USD
CFR.SW,extra_large,Switzerland,Luxury Goods,EUR,CHF
AMT,extra_large,United States,REIT - Specialty,USD,USD
UBS,extra_large,Switzerland,Banks - Diversified,USD,USD
SHOP,extra_large,Canada,Software - Application,USD,USD
601628.SS,extra_large,China,Insurance - Life,CNY,CNY
CVS,extra_large,United States,Healthcare Plans,USD,USD
PANW,extra_large,United States,Software - Infrastructure,USD,USD
IBN,extra_large,India,Banks - Regional,INR,USD
1120.SR,extra_large,Saudi Arabia,Banks - Regional,SAR,SAR
8058.T,extra_large,Japan,Conglomerates,JPY,JPY
GILD,extra_large,United States,Drug Manufacturers - General,USD,USD
9983.T,extra_large,Japan,Apparel Retail,JPY,JPY
BX,extra_large,United States,Asset Management,USD,USD
CSL.AX,extra_large,Australia,Biotechnology,USD,AUD
9984.T,extra_large,Japan,Telecom Services,JPY,JPY
ANET,extra_large,United States,Computer Hardware,USD,USD
FI,extra_large,United States,Information Technology Services,USD,USD
GSK,extra_large,United Kingdom,Drug Manufacturers - General,GBP,USD
SNPS,extra_large,United States,Software - Infrastructure,USD,USD
SAF.PA,extra_large,France,Aerospace & Defense,EUR,EUR
600900.SS,extra_large,China,Utilities - Independent Power Producers,CNY,CNY
SHW,extra_large,United States,Specialty Chemicals,USD,USD
KKR,extra_large,United States,Asset Management,USD,USD
4063.T,extra_large,Japan,Chemicals,JPY,JPY
HCA,extra_large,United States,Medical Care Facilities,USD,USD
1299.HK,extra_large,Hong Kong,Insurance - Life,USD,HKD
CDNS,extra_large,United States,Software - Application,USD,USD
BHARTIARTL.NS,extra_large,India,Telecom Services,INR,INR
EQIX,extra_large,United States,REIT - Specialty,USD,USD
DELL,extra_large,United States,Computer Hardware,USD,USD
ABBN.SW,extra_large,Switzerland,Electrical Equipment & Parts,USD,CHF
000660.KS,extra_large,South Korea,Semiconductors,KRW,KRW
SBIN.NS,extra_large,India,Banks - Regional,INR,INR
MBG.DE,extra_large,Germany,Auto Manufacturers,EUR,EUR
ZTS,extra_large,United States,Drug Manufacturers - Specialty & Generic,USD,USD
WM,extra_large,United States,Waste Management,USD,USD
CP,extra_large,Canada,Railroads,CAD,USD
DEO,extra_large,United Kingdom,Beverages - Wineries & Distilleries,USD,USD
STLA,extra_large,Netherlands,Auto Manufacturers,EUR,USD
P911.DE,extra_large,Germany,Auto Manufacturers,EUR,EUR
ATCO-B.ST,extra_large,Sweden,Specialty Industrial Machinery,SEK,SEK
CNI,extra_large,Canada,Railroads,CAD,USD
RELX,extra_large,United Kingdom,Specialty Business Services,GBP,USD
6501.T,extra_large,Japan,Conglomerates,JPY,JPY
INFY,extra_large,India,Information Technology Services,USD,USD
CS.PA,extra_large,France,Insurance - Diversified,EUR,EUR
ICE,extra_large,United States,Financial Data & Stock Exchanges,USD,USD
BBCA.JK,extra_large,Indonesia,Banks - Regional,IDR,IDR
TGT,extra_large,United States,Discount Stores,USD,USD
CNQ,extra_large,Canada,Oil & Gas E&P,CAD,USD
SMFG,extra_large,Japan,Banks - Diversified,JPY,USD
ZURN.SW,extra_large,Switzerland,Insurance - Diversified,USD,CHF
LICI.NS,extra_large,India,Insurance - Life,INR,INR
ITW,extra_large,United States,Specialty Industrial Machinery,USD,USD
MELI,extra_large,Uruguay,Internet Retail,USD,USD
CRWD,extra_large,United States,Software - Infrastructure,USD,USD
CME,extra_large,United States,Financial Data & Stock Exchanges,USD,USD
INVE-B.ST,extra_large,Sweden,Asset Management,SEK,SEK
BMW.DE,extra_large,Germany,Auto Manufacturers,EUR,EUR
IBE.MC,extra_large,Spain,Utilities - Diversified,EUR,EUR
EQNR,extra_large,Norway,Oil & Gas Integrated,USD,USD
RACE,extra_large,Italy,Auto Manufacturers,EUR,USD
SO,extra_large,United States,Utilities - Regulated Electric,USD,USD
MRK.DE,extra_large,Germany,Drug Manufacturers - Specialty & Generic,EUR,EUR
ENB,extra_large,Canada,Oil & Gas Midstream,CAD,USD
CSX,extra_large,United States,Railroads,USD,USD
GD,extra_large,United States,Aerospace & Defense,USD,USD
000858.SZ,extra_large,China,Beverages - Wineries & Distilleries,CNY,CNY
DG.PA,extra_large,France,Engineering & Construction,EUR,EUR
002594.SZ,extra_large,China,Auto Manufacturers,CNY,CNY
CMG,extra_large,United States,Restaurants,USD,USD
MO,extra_large,United States,Tobacco,USD,USD
BNP.PA,extra_large,France,Banks - Regional,EUR,EUR
DUK,extra_large,United States,Utilities - Regulated Electric,USD,USD
SLB,extra_large,United States,Oil & Gas Equipment & Services,USD,USD
CL,extra_large,United States,Household & Personal Products,USD,USD
MCO,extra_large,United States,Financial Data & Stock Exchanges,USD,USD
4519.T,extra_large,Japan,Drug Manufacturers - General,JPY,JPY
TRI,extra_large,Canada,Specialty Business Services,USD,USD
NTES,extra_large,China,Electronic Gaming & Multimedia,CNY,USD
MRVL,extra_large,United States,Semiconductors,USD,USD
MAR,extra_large,United States,Lodging,USD,USD
0728.HK,extra_large,China,Telecom Services,CNY,HKD
NAB.AX,extra_large,Australia,Banks - Diversified,AUD,AUD
373220.KS,extra_large,South Korea,Specialty Industrial Machinery,KRW,KRW
VOW3.DE,extra_large,Germany,Auto Manufacturers,EUR,EUR
SHL.DE,extra_large,Germany,Medical Devices,EUR,EUR
WMMVF,extra_large,Mexico,Discount Stores,MXN,USD
WDAY,extra_large,United States,Software - Application,USD,USD
BDX,extra_large,United States,Medical Instruments & Supplies,USD,USD
HINDUNILVR.NS,extra_large,India,Household & Personal Products,INR,INR
PH,extra_large,United States,Specialty Industrial Machinery,USD,USD
EOG,extra_large,United States,Oil & Gas E&P,USD,USD
MCK,extra_large,United States,Medical Distribution,USD,USD
NOC,extra_large,United States,Aerospace & Defense,USD,USD
8031.T,extra_large,Japan,Conglomerates,JPY,JPY
SAN,extra_large,Spain,Banks - Diversified,EUR,USD
3690.HK,extra_large,China,Internet Retail,CNY,HKD
ENEL.MI,extra_large,Italy,Utilities - Diversified,EUR,EUR
USB,extra_large,United States,Banks - Regional,USD,USD
BMO,extra_large,Canada,Banks - Diversified,CAD,USD
NXPI,extra_large,Netherlands,Semiconductors,USD,USD
ITUB,extra_large,Brazil,Banks - Regional,BRL,USD
APH,extra_large,United States,Electronic Components,USD,USD
SCCO,extra_large,United States,Copper,USD,USD
BN,extra_large,Canada,Asset Management,USD,USD
BTI,extra_large,United Kingdom,Tobacco,GBP,USD
6098.T,extra_large,Japan,Internet Content & Information,JPY,JPY
7974.T,extra_large,Japan,Electronic Gaming & Multimedia,JPY,JPY
9433.T,extra_large,Japan,Telecom Services,JPY,JPY
D05.SI,extra_large,Singapore,Banks - Regional,SGD,SGD
TDG,extra_large,United States,Aerospace & Defense,USD,USD
TT,extra_large,Ireland,Building Products & Equipment,USD,USD
MPC,extra_large,United States,Oil & Gas Refining & Marketing,USD,USD
MUV2.DE,extra_large,Germany,Insurance - Reinsurance,EUR,EUR
ORLY,extra_large,United States,Specialty Retail,USD,USD
ECL,extra_large,United States,Specialty Chemicals,USD,USD
8001.T,extra_large,Japan,Conglomerates,JPY,JPY
PSX,extra_large,United States,Oil & Gas Refining & Marketing,USD,USD
CTAS,extra_large,United States,Specialty Business Services,USD,USD
601658.SS,extra_large,China,Banks - Regional,CNY,CNY
000333.SZ,extra_large,China,"Furnishings, Fixtures & Appliances",CNY,CNY
1180.SR,extra_large,Saudi Arabia,Banks - Regional,SAR,SAR
EMR,extra_large,United States,Specialty Industrial Machinery,USD,USD
AON,extra_large,Ireland,Insurance Brokers,USD,USD
LSEG.L,extra_large,United Kingdom,Financial Data & Stock Exchanges,GBP,GBP
BBVA,extra_large,Spain,Banks - Diversified,EUR,USD
4568.T,extra_large,Japan,Drug Manufacturers - General,JPY,JPY
PYPL,extra_large,United States,Credit Services,USD,USD
2010.SR,extra_large,Saudi Arabia,Chemicals,SAR,SAR
APO,extra_large,United States,Asset Management,USD,USD
WBC.AX,extra_large,Australia,Banks - Diversified,AUD,AUD
SMCI,extra_large,United States,Computer Hardware,USD,USD
FDX,extra_large,United States,Integrated Freight & Logistics,USD,USD
601138.SS,extra_large,China,Communication Equipment,CNY,CNY
ITC.NS,extra_large,India,Tobacco,INR,INR
2454.TW,extra_large,Taiwan,Semiconductors,TWD,TWD
GLCNF,extra_large,Switzerland,Other Industrial Metals & Mining,USD,USD
MNST,extra_large,United States,Beverages - Non-Alcoholic,USD,USD
ISP.MI,extra_large,Italy,Banks - Regional,EUR,EUR
BNS,extra_large,Canada,Banks - Diversified,CAD,USD
LT.NS,extra_large,India,Engineering & Construction,INR,INR
EPD,extra_large,United States,Oil & Gas Midstream,USD,USD
ATD.TO,extra_large,Canada,Specialty Retail,USD,CAD
PCAR,extra_large,United States,Farm & Heavy Construction Machinery,USD,USD
PNC,extra_large,United States,Banks - Regional,USD,USD
DSY.PA,extra_large,France,Software - Application,EUR,EUR
8766.T,extra_large,Japan,Insurance - Property & Casualty,JPY,JPY
9633.HK,extra_large,China,Beverages - Non-Alcoholic,CNY,HKD
BBRI.JK,extra_large,Indonesia,Banks - Regional,IDR,IDR
CSU.TO,extra_large,Canada,Software - Application,USD,CAD
PLTR,extra_large,United States,Software - Infrastructure,USD,USD
AMX,extra_large,Mexico,Telecom Services,MXN,USD
CRH,extra_large,Ireland,Building Materials,USD,USD
VALE,extra_large,Brazil,Other Industrial Metals & Mining,BRL,USD
601328.SS,extra_large,China,Banks - Diversified,CNY,CNY
ROP,extra_large,United States,Software - Application,USD,USD
ANZ.AX,extra_large,Australia,Banks - Diversified,AUD,AUD
RSG,extra_large,United States,Waste Management,USD,USD
COIN,extra_large,United States,Financial Data & Stock Exchanges,USD,USD
FCX,extra_large,United States,Copper,USD,USD
NSC,extra_large,United States,Railroads,USD,USD
LULU,extra_large,Canada,Apparel Retail,USD,USD
VOLVF,extra_large,Sweden,Farm & Heavy Construction Machinery,SEK,USD
HMC,extra_large,Japan,Auto Manufacturers,JPY,USD
2082.SR,extra_large,Saudi Arabia,Utilities - Diversified,SAR,SAR
4661.T,extra_large,Japan,Leisure,JPY,JPY
UCG.MI,extra_large,Italy,Banks - Regional,EUR,EUR
PXD,extra_large,United States,Oil & Gas E&P,USD,USD
CEG,extra_large,United States,Utilities - Renewable,USD,USD
SPG,extra_large,United States,REIT - Retail,USD,USD
6902.T,extra_large,Japan,Auto Parts,JPY,JPY
MSI,extra_large,United States,Communication Equipment,USD,USD
EW,extra_large,United States,Medical Devices,USD,USD
APD,extra_large,United States,Specialty Chemicals,USD,USD
FTNT,extra_large,United States,Software - Infrastructure,USD,USD
7010.SR,extra_large,Saudi Arabia,Telecom Services,SAR,SAR
KER.PA,extra_large,France,Luxury Goods,EUR,EUR
SNOW,extra_large,United States,Software - Application,USD,USD
NU,extra_large,Brazil,Banks - Regional,USD,USD
AZO,extra_large,United States,Specialty Retail,USD,USD
UMG.AS,extra_large,Netherlands,Entertainment,EUR,EUR
ADSK,extra_large,United States,Software - Application,USD,USD
AJG,extra_large,United States,Insurance Brokers,USD,USD
OXY,extra_large,United States,Oil & Gas E&P,USD,USD
HCLTECH.NS,extra_large,India,Information Technology Services,USD,INR
HEIA.AS,extra_large,Netherlands,Beverages - Brewers,EUR,EUR
DASH,extra_large,United States,Internet Content & Information,USD,USD
CPRT,extra_large,United States,Specialty Business Services,USD,USD
EL,extra_large,United States,Household & Personal Products,USD,USD
FMG.AX,extra_large,Australia,Other Industrial Metals & Mining,USD,AUD
601899.SS,extra_large,China,Gold,CNY,CNY
SPOT,extra_large,Luxembourg,Internet Content & Information,EUR,USD
CARR,extra_large,United States,Building Products & Equipment,USD,USD
WELL,extra_large,United States,REIT - Healthcare Facilities,USD,USD
COF,extra_large,United States,Credit Services,USD,USD
DXCM,extra_large,United States,Medical Devices,USD,USD
DHI,extra_large,United States,Residential Construction,USD,USD
MFG,extra_large,Japan,Banks - Regional,JPY,USD
MET,extra_large,United States,Insurance - Life,USD,USD
TEAM,extra_large,Australia,Software - Application,USD,USD
MMM,extra_large,United States,Conglomerates,USD,USD
HLT,extra_large,United States,Lodging,USD,USD
ET,extra_large,United States,Oil & Gas Midstream,USD,USD
DHL.DE,extra_large,Germany,Integrated Freight & Logistics,EUR,EUR
E,extra_large,Italy,Oil & Gas Integrated,EUR,USD
NGG,extra_large,United Kingdom,Utilities - Regulated Electric,GBP,USD
AIG,extra_large,United States,Insurance - Diversified,USD,USD
ADYEN.AS,extra_large,Netherlands,Software - Infrastructure,EUR,EUR
PSA,extra_large,United States,REIT - Industrial,USD,USD
TRV,extra_large,United States,Insurance - Property & Casualty,USD,USD
MCHP,extra_large,United States,Semiconductors,USD,USD
TFC,extra_large,United States,Banks - Regional,USD,USD
WES.AX,extra_large,Australia,Home Improvement Retail,AUD,AUD
300760.SZ,extra_large,China,Medical Devices,CNY,CNY
VLO,extra_large,United States,Oil & Gas Refining & Marketing,USD,USD
ROST,extra_large,United States,Apparel Retail,USD,USD
MQG.AX,extra_large,Australia,Capital Markets,AUD,AUD
BA.L,extra_large,United Kingdom,Aerospace & Defense,GBP,GBP
1211.SR,extra_large,Saudi Arabia,Other Industrial Metals & Mining,SAR,SAR
F,extra_large,United States,Auto Manufacturers,USD,USD
IFX.DE,extra_large,Germany,Semiconductors,EUR,EUR
GWW,extra_large,United States,Industrial Distribution,USD,USD
CCI,extra_large,United States,REIT - Specialty,USD,USD
HOLN.SW,extra_large,Switzerland,Building Materials,CHF,CHF
ODFL,extra_large,United States,Trucking,USD,USD
DLR,extra_large,United States,REIT - Specialty,USD,USD
ING,extra_large,Netherlands,Banks - Diversified,EUR,USD
BAS.DE,extra_large,Germany,Chemicals,EUR,EUR
BAJFINANCE.NS,extra_large,India,Credit Services,INR,INR
SIKA.SW,extra_large,Switzerland,Specialty Chemicals,CHF,CHF
601166.SS,extra_large,China,Banks - Regional,CNY,CNY
AFL,extra_large,United States,Insurance - Life,USD,USD
SQ,extra_large,United States,Software - Infrastructure,USD,USD
2317.TW,extra_large,Taiwan,Electronic Components,TWD,TWD
COR,extra_large,United States,Medical Distribution,USD,USD
CPG.L,extra_large,United Kingdom,Restaurants,GBP,GBP
RKT.L,extra_large,United Kingdom,Household & Personal Products,GBP,GBP
IDXX,extra_large,United States,Diagnostics & Research,USD,USD
IQV,extra_large,United States,Diagnostics & Research,USD,USD
SUNPHARMA.NS,extra_large,India,Drug Manufacturers - Specialty & Generic,INR,INR
7741.T,extra_large,Japan,Medical Instruments & Supplies,JPY,JPY
TAK,extra_large,Japan,Drug Manufacturers - Specialty & Generic,JPY,USD
2914.T,extra_large,Japan,Tobacco,JPY,JPY
CM,extra_large,Canada,Banks - Diversified,CAD,USD
GM,extra_large,United States,Auto Manufacturers,USD,USD
TATAMOTORS.NS,extra_large,India,Auto Manufacturers,INR,INR
STZ,extra_large,United States,Beverages - Wineries & Distilleries,USD,USD
IBKR,extra_large,United States,Capital Markets,USD,USD
LEN,extra_large,United States,Residential Construction,USD,USD
HYMTF,extra_large,South Korea,Auto Manufacturers,KRW,USD
OKE,extra_large,United States,Oil & Gas Midstream,USD,USD
URI,extra_large,United States,Rental & Leasing Services,USD,USD
O,extra_large,United States,REIT - Retail,USD,USD
SU,extra_large,Canada,Oil & Gas Integrated,CAD,USD
SRE,extra_large,United States,Utilities - Diversified,USD,USD
NUE,extra_large,United States,Steel,USD,USD
AEP,extra_large,United States,Utilities - Regulated Electric,USD,USD
HES,extra_large,United States,Oil & Gas E&P,USD,USD
ADANIENT.NS,extra_large,India,Thermal Coal,INR,INR
O39.SI,extra_large,Singapore,Banks - Regional,SGD,SGD
002415.SZ,extra_large,China,Computer Hardware,CNY,CNY
MSCI,extra_large,United States,Financial Data & Stock Exchanges,USD,USD
TEL,extra_large,Switzerland,Electronic Components,USD,USD
WMB,extra_large,United States,Oil & Gas Midstream,USD,USD
MARUTI.NS,extra_large,India,Auto Manufacturers,INR,INR
PAYX,extra_large,United States,Staffing & Employment Services,USD,USD
NDA-FI.HE,extra_large,Finland,Banks - Regional,EUR,EUR
STM,extra_large,Switzerland,Semiconductors,USD,USD
WCN,extra_large,Canada,Waste Management,USD,USD
MFC,extra_large,Canada,Insurance - Life,CAD,USD
A,extra_large,United States,Diagnostics & Research,USD,USD
FAST,extra_large,United States,Industrial Distribution,USD,USD
PCG,extra_large,United States,Utilities - Regulated Electric,USD,USD
FMX,extra_large,Mexico,Beverages - Brewers,MXN,USD
ALC,extra_large,Switzerland,Medical Instruments & Supplies,USD,USD
207940.KS,extra_large,South Korea,Biotechnology,KRW,KRW
BSBR,extra_large,Brazil,Banks - Regional,BRL,USD
GEHC,extra_large,United States,Health Information Services,USD,USD
BMRI.JK,extra_large,Indonesia,Banks - Regional,IDR,IDR
ACA.PA,extra_large,France,Banks - Regional,EUR,EUR
ONGC.NS,extra_large,India,Oil & Gas Integrated,INR,INR
CNC,extra_large,United States,Healthcare Plans,USD,USD
ARES,extra_large,United States,Asset Management,USD,USD
BK,extra_large,United States,Asset Management,USD,USD
RI.PA,extra_large,France,Beverages - Wineries & Distilleries,EUR,EUR
KHC,extra_large,United States,Packaged Foods,USD,USD
KKS.F,extra_large,Kazakhstan,Software - Infrastructure,KZT,EUR
KOTAKBANK.NS,extra_large,India,Banks - Regional,INR,INR
AMP,extra_large,United States,Asset Management,USD,USD
AME,extra_large,United States,Specialty Industrial Machinery,USD,USD
TRP,extra_large,Canada,Oil & Gas Midstream,CAD,USD
RR.L,extra_large,United Kingdom,Aerospace & Defense,GBP,GBP
KMB,extra_large,United States,Household & Personal Products,USD,USD
JCI,extra_large,Ireland,Building Products & Equipment,USD,USD
BN.PA,extra_large,France,Packaged Foods,EUR,EUR
AXISBANK.BO,extra_large,India,Banks - Regional,INR,INR
XIACF,extra_large,China,Consumer Electronics,CNY,USD
NTPC.NS,extra_large,India,Utilities - Regulated Electric,INR,INR
CAP.PA,extra_large,France,Information Technology Services,EUR,EUR
DDOG,extra_large,United States,Software - Application,USD,USD
MPLX,extra_large,United States,Oil & Gas Midstream,USD,USD
6367.T,extra_large,Japan,Building Products & Equipment,JPY,JPY
ALL,extra_large,United States,Insurance - Property & Casualty,USD,USD
BYAN.JK,extra_large,Indonesia,Thermal Coal,USD,IDR
7182.T,extra_large,Japan,Banks - Regional,JPY,JPY
D,extra_large,United States,Utilities - Regulated Electric,USD,USD
LHX,extra_large,United States,Aerospace & Defense,USD,USD
HUM,extra_large,United States,Healthcare Plans,USD,USD
FERG,extra_large,United Kingdom,Industrial Distribution,USD,USD
TITAN.NS,extra_large,India,Luxury Goods,INR,INR
2282.SR,extra_large,Saudi Arabia,Beverages - Non-Alcoholic,SAR,SAR
ABEV,extra_large,Brazil,Beverages - Brewers,BRL,USD
KFH.KW,extra_large,Kuwait,Banks - Diversified,KWD,KWF
ENGI.PA,extra_large,France,Utilities - Diversified,EUR,EUR
GIVN.SW,extra_large,Switzerland,Specialty Chemicals,CHF,CHF
DOW,extra_large,United States,Chemicals,USD,USD
CHTR,extra_large,United States,Telecom Services,USD,USD
TTD,extra_large,United States,Software - Application,USD,USD
KDP,extra_large,United States,Beverages - Non-Alcoholic,USD,USD
