,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
12,LYG,0.37624442747501713,0.4804039075445258,0.23093478903127443,3.800720603743335,1.4299999475479126,49147365546.98089,102239192948.49658,23610586454.28882,0.24176065661000185,0.6425627569621744,0.5032445673593829,1.0468784613359459
42,MUFG,0.6490432464513491,0.6514009681596358,0.5641279585448288,5.823957019901155,3.7799999713897705,68254602223.963684,78813881312.90012,44461113970.04077,0.1889849723707113,0.2911746996891018,0.2901208036344177,0.33500373365326386
14,HSBC,0.5884429358475086,0.6768760211476215,0.3839402523784893,43.24973453251661,25.450000762939453,144149343652.56287,254131296674.78033,97571234182.58789,0.17486916244260073,0.2971726768896364,0.2583474033340932,0.4554593100340369
33,GS,0.8869627340446049,0.7273494794765765,0.47352119434854906,201.27114411943631,178.52000427246094,79651617949.02293,122348404984.05345,57934562854.688965,0.1657732366789179,0.18689988915653952,0.22791414767796842,0.35008620238631954
20,BHP,0.8413753976116113,0.8213092178948931,0.5099369465597732,40.72385480642017,34.2640495300293,105640387489.4103,170145396626.73938,86763424027.04102,0.1443215672243494,0.17153052921921771,0.17572135327332825,0.2830184559051802
24,MS,0.958864038173081,0.8573274189549177,0.5120090360049886,40.04738940782704,38.400001525878906,72857339816.07907,121995103023.59557,62462595096.44043,0.13946426635893058,0.14544738441192476,0.1626732835967588,0.27238633803636964
16,COP,0.5566217329141152,0.8068979437479531,0.20492526750105167,57.84898227807393,32.20000076293945,46993603933.497826,185038393974.77188,37919042383.24512,0.12342874993246228,0.22174619249282332,0.1529669902976195,0.6023110348353156
6,TTE,0.6260548964400049,0.905215986832393,0.3224268381060299,53.79719972911888,33.68000030517578,89179727263.6733,250372814169.6526,80726914820.42969,0.12138083093843477,0.19388208866132037,0.13409046316468698,0.37646007277632004
27,RY,0.8676978617368658,1.1621388645200246,0.7622274337933895,69.79388107753131,60.560001373291016,74979125913.47186,114317790712.58853,87136156251.78613,0.10369792346316745,0.11950925320433073,0.08923023455204362,0.13604590817086223
11,AXP,0.9314715681841913,1.2046438783321574,0.726362657698242,89.95443744876442,83.79000091552734,50237041991.25775,83316156824.5507,60517745100.28418,0.09907011555147725,0.10635871124290387,0.08224016851240792,0.13639208252447726
32,LOW,1.1635217259865394,1.3212195232641046,0.5786868046025733,81.08142222948231,94.33999633789062,40856069346.629944,93279881336.97212,53979836464.59961,0.08669718744089035,0.07451273620815341,0.06561906323235586,0.14981711480432264
8,AMAT,1.4507329709611538,1.341324720003149,0.5121500580493806,34.72037924285483,50.369998931884766,32699264487.41047,85639611074.01813,43860331782.884766,0.08332130313309813,0.0574339349838415,0.06211866663644469,0.16268923887354989
4,CAT,1.0244983493864772,1.356292030644422,0.5003803009710583,108.86303413381468,111.52999877929688,41243317844.621574,111790938215.27264,55937983309.99512,0.08171728277489092,0.07976321564971527,0.06025050721271596,0.16331035137935493
13,CMCSA,1.0817023322599102,1.56294927516215,1.5968336597342712,34.35325850668809,37.15999984741211,95254417884.56401,93233144530.18645,148877823388.67188,0.07973047784968622,0.07370833497521634,0.05101283779117814,0.04993035897236419
10,IBM,0.7740533338400488,1.668382382988049,19.211856240962817,146.5924308333174,113.4703598022461,62349847841.17315,5414541229.930915,104023387720.19873,0.07831892595070769,0.10118027082471244,0.0469430310157313,0.004076593379025966
9,VZ,1.1117236997947328,1.6398939297762662,1.9066405767959367,51.20876735441302,56.93000030517578,147402341840.8483,126780164316.98152,241724205619.61328,0.07658521393232748,0.06888871213815813,0.046701321678028374,0.04016761987779945
29,MU,1.441802070722444,1.7342676938434165,-2.25214590978167,32.20275601484682,46.43000030517578,31046275193.66018,-23907221929.398335,53842552082.53711,0.07933130646281816,0.0550223280114084,0.045743403249937274,-0.03522476324391823
39,ETN,1.0411315600991502,1.6581332429994604,1.134715261173547,72.74776864564222,75.73999786376953,18452763977.921234,26964598453.86228,30597141377.01416,0.07287608906089241,0.06999700312028981,0.04395068331726108,0.06422411996602777
40,LRCX,1.9443981031095143,1.623869694212404,0.589433454506931,135.1626486048837,262.80999755859375,21461679524.20018,59126218065.44874,34850970966.24756,0.06814219616147756,0.03504539325177462,0.041962847391229456,0.11560625824755641
21,PFE,1.0267591504255744,1.7762368197396166,1.4429458037188296,33.23772300088451,34.12713623046875,109951004675.983,135347441580.62602,195299022872.84375,0.06925738695992611,0.06745241757156008,0.038991077197734675,0.047997219841128216
41,UPS,0.9337073733756666,1.7244215803034748,0.8095857964763359,107.01425416370107,99.91999816894531,50112286859.1941,106739408317.76738,86414708898.35254,0.06714250471901566,0.07190957963229196,0.038936247078976756,0.08293439066155632
28,PM,0.8362714198368708,1.7850933210245354,1.3977817882685575,90.20994936801992,75.44000244140625,65696989407.26484,83900976523.37984,117275257002.32812,0.06854983911772973,0.08197080217222007,0.03840126357001116,0.049041874556573606
22,UNP,1.2168030594206884,1.8018632617049992,1.595770594742945,120.52895702935953,146.66000366210938,50233396109.450096,56721004421.611984,90513710960.29297,0.06853215865518107,0.056321487790973145,0.0380340507027892,0.04294612200585172
2,QCOM,1.1666810136441041,1.8006780095295751,0.7607612837448852,65.13348291013696,75.98999786376953,48297094164.863914,114316431770.48613,86967515386.84961,0.06303733038266109,0.05403133302543879,0.03500755273794314,0.08286085494829167
34,SCHW,0.9192309519926831,1.9741755086609858,0.8314596141658007,37.716308500914444,34.66999816894531,31276618275.739304,74261615046.2727,61745533793.703125,0.05769810026912939,0.06276779534463353,0.029226428965408446,0.06939374960143747
45,SNY,0.9920584052164526,2.14923169783023,1.6168708483921281,45.51143489987148,45.150001525878906,53274410410.18352,70815211771.95135,114499051536.7832,0.056818103746213544,0.05727294224558953,0.02643647206747165,0.03514078060267795
43,PGR,1.7188622073698558,2.1848607205808688,1.3542387273688539,46.10608090643033,79.25,21244308488.304848,34274499919.361496,46415855152.0,0.054975180175906975,0.03198347135692053,0.02516186943087669,0.04059489591079564
38,HON,1.0874924325307902,2.214279310294853,1.7415283409847893,123.99166403769242,134.83999633789062,40346785752.44014,51299224265.28438,89339052928.52734,0.05528713186551819,0.05083909571384796,0.02496845434470332,0.0317463291089795
44,BKNG,0.905804319590166,2.2134272732452733,1.5846663217523311,1572.7568907996947,1424.6099853515625,22168264717.15142,30964147500.279068,49067841725.46387,0.054787135636432685,0.06048451575194661,0.02475217338227929,0.034573294632682564
18,TXN,1.3462567528629121,2.203336625776642,1.127923807859027,80.20758531187036,107.9800033569336,44599562674.7954,87122773054.61356,98267849934.99756,0.05322595338617683,0.03953625730975017,0.02415697754192032,0.04718931634859972
23,AMGN,1.312857390488548,2.29543431177293,2.0890535295198025,168.94447535479867,221.8000030517578,52107627883.16607,57255419862.60599,119609636948.11523,0.053891978643795836,0.04104937751368505,0.023477900616624994,0.025797318202843582
46,UL,1.0479183960811105,2.343167790112272,1.9979560877494713,49.631725634395245,52.0099983215332,57012679982.79089,66863469213.74656,133590275363.6543,0.052571827307778485,0.050167863742425746,0.022436219689269257,0.02631280418529929
15,INTC,1.475112803352293,2.4200167202896,16.362830098064343,39.90881158247609,58.869998931884766,103553799301.74336,15315316742.75452,250601925759.73242,0.05411011890228213,0.036682021049043334,0.02235939877961126,0.003306892424965235
31,RTX,0.8465632729573346,2.4658995112312025,4.500011883002655,73.62710363433877,62.33000183105469,33639097200.50428,18433425400.11988,82950633344.98242,0.05167049155820895,0.0610355932140858,0.02095401346359419,0.011482301136443124
