,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
2,BRK-B,1.691547334036999,2.2433785820626837,1.2215629215158907,236.62359409734978,400.260009765625,389041308258.88324,714467444216.9303,872766938485.625,0.05228242843292758,0.030908049323190863,0.023305218678185063,0.04279961966105523
1,BRK-A,1.696111554486082,2.2567703468476585,1.2398851268824431,356403.4443378119,604500.0,387570271038.76733,705433976129.0875,874657095000.0,0.05203739300828515,0.030680407117474277,0.02305834666826996,0.04196952756351513
3,TSM,2.0886504952422484,4.432302080568498,1.9533604075214697,67.09595488037579,140.13999938964844,164002266034.08435,372131830952.36395,726907584960.8203,0.025588059526683207,0.012251001105723733,0.005773085647492966,0.0130995076116807
0,META,2.3622408289553047,5.960015043394825,2.896692981495764,211.76080137754357,500.2300109863281,213974529767.8459,440257709210.5818,1275291416319.6953,0.01936439756747276,0.008197469677990716,0.003249051793742252,0.006685001721333124
