,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Average Market Price,Current Price,PAD Value,DCF Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE
3,C,1.0215758032510103,1.1094350600315745,0.9437457765265339,57.3232071344414,58.560001373291016,103398890367.7358,121552177499.04483,114714354142.32715,0.1111360482767686,0.108788841633773,0.10017354983680223,0.11776057815676375
1,T,0.6789143892089763,1.2456017211103008,12.138818455412645,23.92054142502397,16.239999771118164,94398254957.7839,9686497024.164246,117582628845.22461,0.10502997016894439,0.15470281943989725,0.08432066878915605,0.008652404725775595
11,PBR,1.4062095526237688,1.144488168856984,0.23327436894999412,11.228767385622817,15.789999961853027,89504905955.60095,439127994995.46075,102437305920.84229,0.0783452307697513,0.05571376657452743,0.06845438240571396,0.33585014557062537
19,TD,1.0306666638715092,1.343574058758115,1.1182228461784713,54.88680450993675,56.56999969482422,74450184274.05077,89453847774.82092,100029336260.37598,0.09157557343430611,0.08885081534539922,0.06815818810832856,0.08189384946593231
23,UBS,1.6705096625212275,1.243171478511169,0.3417077829171816,17.012772038325643,28.420000076293945,73357148669.81361,266881585759.2524,91195514971.21582,0.0820240034168036,0.049101184660619294,0.06597963743106151,0.24004136726579461
7,RIO,1.2162702991782497,1.37557087535062,0.7144012641771549,54.89733383128595,66.7699966430664,80961062369.22415,155889532979.5122,111367679432.5498,0.08557958690135373,0.0703623092327207,0.06221386948130921,0.1197920429213182
16,BUD,0.6628911582890319,1.8661827706531235,2.9611220472743836,87.49551004678057,58.0,61258288123.617584,38606703820.67739,114319161856.0,0.06809357131051638,0.10272209918483545,0.03648815774174418,0.022995867857994675
20,CB,1.6296391415279714,2.3550142523008972,1.0714017414925971,149.99639871942205,244.44000244140625,42139538995.6464,92625586721.45149,99239214920.13672,0.04888390142852328,0.029996764426441724,0.020757369676537078,0.04562611720270481
5,LMT,1.4048653833255706,2.5246522194964385,1.5262711986150777,322.50775907065434,453.0799865722656,43159796091.467415,71391948622.37407,108963474995.33691,0.04735440018061848,0.03370742901253788,0.018756801358590168,0.031026203091290307
6,BP,1.1004108994580664,2.3719566752538515,0.5794341510598529,35.50491885718828,39.06999969482422,47184311857.02063,193152480349.67618,111919143476.51953,0.04121189509431579,0.037451369406293546,0.017374640744610235,0.07112438060292858
14,CI,1.8366251724401652,2.765324066739408,1.3414292285581926,189.96799081923237,348.8999938964844,35884164990.86508,73974342403.99225,99231345064.08691,0.0421499879629641,0.022949695232023334,0.015242332162777263,0.031421700873677946
2,BLK,1.4546837492838676,3.0046113180028096,2.000029564693481,524.5057495211523,762.989990234375,37776064500.32,56750356570.18435,113502390947.26562,0.04018241344465593,0.0276227829343921,0.013373581202964223,0.020090909731533983
15,SONY,1.4114295267713648,2.89867339320235,0.9420691467962787,58.30967929374306,82.30000305175781,35034393102.11267,107798098979.72034,101553263132.08594,0.03729350252205735,0.02642250414540071,0.012865713884673578,0.039586799598397227
4,DE,1.9201712384275265,2.9341986172037795,0.9708782974129492,205.08586938082712,393.79998779296875,37433700176.95392,113132522983.28085,109837911296.03906,0.03679558316715501,0.019162657179100224,0.0125402496447975,0.037899274569430964
0,ELV,1.8068170132200432,3.200136056591084,1.6551722823069508,276.7795480554218,500.0899963378906,36350933944.99588,70281465954.71391,116327934408.14209,0.03668345029688174,0.020302803232689202,0.011463090833693632,0.02216291964831176
9,MDT,0.9038023849058912,3.442611991964044,2.66919120331557,88.76940877433907,80.2300033569336,31327486212.29192,40404891031.620056,107848379712.52441,0.035539708711589346,0.03932243298438511,0.010323472059746586,0.01331478564272325
24,BMY,0.8058059608403632,3.569294154855798,1.1908662631182327,60.20059503027608,48.5099983215332,27787319716.846836,83284849790.56265,99181117844.45068,0.030200304907811552,0.037478383600334876,0.008461142062703337,0.02535994665659042
22,REGN,1.7943639957959554,4.009969658052098,1.5165569972768194,500.7679599366932,898.5599975585938,24595633100.11085,65033983311.6234,98627742452.02637,0.027901746826847915,0.01554965820325161,0.006958094251616258,0.018398086505781997
10,TJX,1.7668210695991826,4.776703402630165,2.681036460151189,52.62559121395742,92.9800033569336,22395227502.305523,39900747715.645355,106975359412.93945,0.024826107925752683,0.014051285867552327,0.005197330843711763,0.00925989194654693
18,ADP,1.6478639579545122,5.455539253116233,2.714395968726372,148.11902442118483,244.0800018310547,18378727625.788486,36938556916.53815,100265869984.8208,0.021388035632909315,0.012979248395879845,0.003920425578588287,0.007879482536567737
8,PLD,1.4192652772270524,6.237248769606311,2.688824409461759,81.58446681775855,115.79000091552734,17172845387.99428,39835739511.28626,107111308766.90674,0.01832013465795941,0.012908182107965837,0.0029372140401441385,0.0068134366057866465
12,VRTX,2.0753914754503318,7.570371860790819,2.013697605804004,191.46266622558076,397.3599853515625,13678799869.646185,51424603835.29781,103553601622.5586,0.013457704784421647,0.006484417491163448,0.001777680810387011,0.0066830812857069585
17,ABNB,1.1076494197095692,1.4615554031015379,1.442505658206794,140.47766679128011,155.60000610351562,67908340263.39258,68805138519.17982,99251801627.61914,0.0014206363206859668,0.0012825685595162992,0.0009720030576133224,0.0009848393402158205
21,BSX,2.0352814512434105,12.122648054191151,6.643273296238604,33.13546752966538,67.44000244140625,8177261379.161378,14921870187.521893,99130061746.70312,0.009798238625956506,0.004814193447284888,0.0008082589366742335,0.0014749112657316435
13,BA,0.7892735309705692,26.66123705488918,-0.9678650588389992,212.62591578087077,167.82000732421875,3859555184.145062,-106317006437.19084,102900515690.91797,0.009729786029521,0.012327521002200956,0.00036494128196263626,-0.01005283323399684
