,Ticker Symbol,Market MoS,PAD MoS,DCF MoS,Book MoS,Average Market Price,Current Price,PAD Value,DCF Value,Book Value,Market Cap,Earnings per Dollar Equity,Market MOSEE,PAD MOSEE,DCF MOSEE,Book MOSEE
9,601939.SS,1.1664485152608024,0.545441257649603,0.37182476540395853,0.40044834500285414,6.12114445950423,7.139999866485596,2226074031314.475,3265496901321.685,3032083000000.0,1214192619261.289,0.22165436993328003,0.1900249921306823,0.40637624459951105,0.5961258919708317,0.5535155100508662
7,601988.SS,1.2967142829417955,0.7498145554415742,0.5551595916624938,0.5025694835848362,3.5397158903615766,4.590000152587891,1660136152436.8706,2242227766225.2896,2476860000000.0,1244794251111.9375,0.162422102945444,0.12525666222860177,0.21661636436197457,0.2925683089776959,0.3231833771260534
6,601288.SS,1.3229029128897691,0.8418789375154441,0.5622926298738334,0.3286881048034437,3.3033413434801413,4.369999885559082,1773410976820.4707,2655196368621.87,4542292000000.0,1492997348943.8438,0.14332751504975963,0.10834318501625553,0.17024718004318798,0.25489844154976615,0.4360593308829045
11,HSBC,1.0484296913237583,1.0598851800218256,0.6011921988606705,0.054496440917170715,38.69596600569382,40.56999969482422,144149343652.56287,254131296674.78033,2803518000000.0,152781753047.2246,0.11167694871733864,0.10651830031285565,0.10536702543103674,0.18575914479425967,2.049252150008782
5,WFC,1.19352722089361,1.3055197176633924,2.056254732280033,1.0596056505066707,47.732469124624494,56.970001220703125,152135321482.08563,96590981083.21007,187443000000.0,198615661947.92188,0.09719324151315742,0.08143361945309259,0.07444793073452236,0.04726712113405658,0.09172586184934237
3,BAC,1.3389960684961544,1.5539193648030514,0.9322728631916851,0.9639847780887403,26.84847372503148,35.95000076293945,180924641881.98184,301566543112.6712,291646000000.0,281142304590.46875,0.07695426709799216,0.05747161542036534,0.04952269007069462,0.08254478933832225,0.07982933843682342
8,CMCSA,1.0249072162012016,1.6241633583786506,1.6593748503431227,1.8535317580815995,38.47177547575701,39.43000030517578,95254417884.56401,93233144530.18645,83467000000.0,154708735251.79688,0.07672546725096528,0.0748608908573663,0.04723999396683707,0.04623757388820261,0.04139420159187126
1,JPM,1.7253618817198695,1.8853436050569798,1.0275466539208975,1.60181447817027,106.00095048311873,182.88999938964844,278569766309.3295,511120079530.65906,327878000000.0,525199727473.5117,0.06263502869326812,0.03630254577714008,0.03322207608483926,0.060955897675561775,0.03910254873261929
10,TTE,1.3567353978285257,1.8823738507091416,0.6704784909305821,1.4053191348439278,53.19386395052006,72.16999816894531,89179727263.6733,250372814169.6526,119453000000.0,167869586614.51172,0.05837090683079658,0.04302305882504433,0.031009199797801413,0.08705858222205073,0.04153569490625284
2,005930.KS,1.6583688108881665,2.186836256577629,2.0269083206049388,1.5023648463796389,49566.77878907796,82200.0,249848079909500.3,269561693653382.25,363677865000000.0,546376839782400.0,0.05671796467863065,0.03420105606560125,0.025936082094867745,0.027982501281411165,0.03775245727780983
0,BRK-B,1.8454608625766606,2.459679212793953,1.217181550786082,1.5133471291331229,216.8889180379452,400.260009765625,351173086475.0251,709650208169.4135,570770000000.0,863773140895.3125,0.04742298418487707,0.025697095585470384,0.019280150004198818,0.038961307090343504,0.0313364880217812
4,601857.SS,1.5009186533037062,2.502790080381272,0.9918076333495824,1.1491139965250394,7.108979592470228,10.670000076293945,748672223378.0823,1889246816743.5537,1630621000000.0,1873769414127.6562,0.04483022263393458,0.02986852254468139,0.017912098575644506,0.045200521881981995,0.03901285927201542
